NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price,total_population
ZCTA5 06390,,,,8.0,44.0,,
ZCTA5 10001,,,,3729.0,5932.0,,
ZCTA5 10002,,,,12986.0,14072.0,,
ZCTA5 10003,,,,7184.0,17386.0,,
ZCTA5 10004,,,,477.0,1118.0,,
ZCTA5 10005,,,,1571.0,3016.0,,
ZCTA5 10006,,,,515.0,1136.0,,
ZCTA5 10007,,,,1193.0,2029.0,,
ZCTA5 10009,,,,6835.0,17256.0,,
ZCTA5 10010,,,,3712.0,9702.0,,
ZCTA5 10011,,,,4982.0,17616.0,,
ZCTA5 10012,,,,3421.0,8401.0,,
ZCTA5 10013,,,,4443.0,6909.0,,
ZCTA5 10014,,,,3354.0,12945.0,,
ZCTA5 10016,,,,6950.0,17587.0,,
ZCTA5 10017,,,,2851.0,6450.0,,
ZCTA5 10018,,,,2490.0,3104.0,,
ZCTA5 10019,,,,6072.0,12665.0,,
ZCTA5 10020,,,,0.0,0.0,,
ZCTA5 10021,,,,4763.0,13842.0,,
ZCTA5 10022,,,,2487.0,11314.0,,
ZCTA5 10023,,,,7113.0,16210.0,,
ZCTA5 10024,,,,5900.0,15920.0,,
ZCTA5 10025,,,,12038.0,20864.0,,
ZCTA5 10026,,,,4719.0,5927.0,,
ZCTA5 10027,,,,10851.0,8015.0,,
ZCTA5 10028,,,,3597.0,15912.0,,
ZCTA5 10029,,,,11753.0,10304.0,,
ZCTA5 10030,,,,3761.0,3588.0,,
ZCTA5 10031,,,,13052.0,7452.0,,
ZCTA5 10032,,,,14896.0,8048.0,,
ZCTA5 10033,,,,14948.0,8422.0,,
ZCTA5 10034,,,,11142.0,5533.0,,
ZCTA5 10035,,,,5613.0,3195.0,,
ZCTA5 10036,,,,5051.0,9119.0,,
ZCTA5 10037,,,,1555.0,2868.0,,
ZCTA5 10038,,,,3200.0,6063.0,,
ZCTA5 10039,,,,3617.0,2991.0,,
ZCTA5 10040,,,,11533.0,6526.0,,
ZCTA5 10044,,,,4445.0,1927.0,,
ZCTA5 10065,,,,3849.0,10205.0,,
ZCTA5 10069,,,,786.0,1914.0,,
ZCTA5 10075,,,,2180.0,8736.0,,
ZCTA5 10103,,,,0.0,0.0,,
ZCTA5 10110,,,,0.0,0.0,,
ZCTA5 10111,,,,0.0,0.0,,
ZCTA5 10112,,,,0.0,0.0,,
ZCTA5 10115,,,,0.0,0.0,,
ZCTA5 10119,,,,0.0,0.0,,
ZCTA5 10128,,,,7246.0,19390.0,,
ZCTA5 10152,,,,0.0,0.0,,
ZCTA5 10153,,,,0.0,0.0,,
ZCTA5 10154,,,,0.0,0.0,,
ZCTA5 10162,,,,198.0,406.0,,
ZCTA5 10165,,,,0.0,0.0,,
ZCTA5 10167,,,,0.0,0.0,,
ZCTA5 10168,,,,0.0,0.0,,
ZCTA5 10169,,,,0.0,0.0,,
ZCTA5 10170,,,,0.0,0.0,,
ZCTA5 10171,,,,0.0,0.0,,
ZCTA5 10172,,,,0.0,0.0,,
ZCTA5 10173,,,,0.0,0.0,,
ZCTA5 10174,,,,0.0,0.0,,
ZCTA5 10177,,,,0.0,0.0,,
ZCTA5 10199,,,,0.0,0.0,,
ZCTA5 10271,,,,0.0,0.0,,
ZCTA5 10278,,,,0.0,0.0,,
ZCTA5 10279,,,,0.0,0.0,,
ZCTA5 10280,,,,1527.0,3225.0,,
ZCTA5 10282,,,,1155.0,1660.0,,
ZCTA5 10301,,,,3928.0,4616.0,,
ZCTA5 10302,,,,3078.0,1606.0,,
ZCTA5 10303,,,,2903.0,2334.0,,
ZCTA5 10304,,,,5477.0,4417.0,,
ZCTA5 10305,,,,4411.0,5841.0,,
ZCTA5 10306,,,,3031.0,7167.0,,
ZCTA5 10307,,,,201.0,1820.0,,
ZCTA5 10308,,,,1547.0,3869.0,,
ZCTA5 10309,,,,1230.0,4285.0,,
ZCTA5 10310,,,,2160.0,2806.0,,
ZCTA5 10311,,,,0.0,0.0,,
ZCTA5 10312,,,,1941.0,9051.0,,
ZCTA5 10314,,,,5562.0,11377.0,,
ZCTA5 10451,,,,8479.0,3329.0,,
ZCTA5 10452,,,,18559.0,4265.0,,
ZCTA5 10453,,,,19575.0,4451.0,,
ZCTA5 10454,,,,6826.0,1402.0,,
ZCTA5 10455,,,,8749.0,1984.0,,
ZCTA5 10456,,,,18908.0,4976.0,,
ZCTA5 10457,,,,17077.0,3427.0,,
ZCTA5 10458,,,,19115.0,4381.0,,
ZCTA5 10459,,,,9243.0,2149.0,,
ZCTA5 10460,,,,12270.0,3163.0,,
ZCTA5 10461,,,,6693.0,5728.0,,
ZCTA5 10462,,,,12880.0,8129.0,,
ZCTA5 10463,,,,9370.0,9982.0,,
ZCTA5 10464,,,,121.0,624.0,,
ZCTA5 10465,,,,2664.0,4737.0,,
ZCTA5 10466,,,,11613.0,7284.0,,
ZCTA5 10467,,,,20982.0,8470.0,,
ZCTA5 10468,,,,18990.0,5776.0,,
ZCTA5 10469,,,,10195.0,7510.0,,
ZCTA5 10470,,,,2137.0,1986.0,,
ZCTA5 10471,,,,1492.0,3923.0,,
ZCTA5 10472,,,,17330.0,3581.0,,
ZCTA5 10473,,,,5566.0,4466.0,,
ZCTA5 10474,,,,2829.0,731.0,,
ZCTA5 10475,,,,3770.0,5010.0,,
ZCTA5 10501,,,,18.0,282.0,,
ZCTA5 10502,,,,442.0,1141.0,,
ZCTA5 10503,,,,0.0,16.0,,
ZCTA5 10504,,,,208.0,1917.0,,
ZCTA5 10505,,,,5.0,86.0,,
ZCTA5 10506,,,,172.0,1403.0,,
ZCTA5 10507,,,,990.0,825.0,,
ZCTA5 10509,,,,1499.0,2777.0,,
ZCTA5 10510,,,,271.0,2027.0,,
ZCTA5 10511,,,,134.0,305.0,,
ZCTA5 10512,,,,992.0,3420.0,,
ZCTA5 10514,,,,559.0,2986.0,,
ZCTA5 10516,,,,197.0,1155.0,,
ZCTA5 10517,,,,82.0,60.0,,
ZCTA5 10518,,,,15.0,462.0,,
ZCTA5 10519,,,,0.0,31.0,,
ZCTA5 10520,,,,1182.0,2785.0,,
ZCTA5 10522,,,,866.0,1937.0,,
ZCTA5 10523,,,,1879.0,1405.0,,
ZCTA5 10524,,,,143.0,878.0,,
ZCTA5 10526,,,,10.0,386.0,,
ZCTA5 10527,,,,3.0,152.0,,
ZCTA5 10528,,,,2275.0,2581.0,,
ZCTA5 10530,,,,1328.0,2983.0,,
ZCTA5 10532,,,,128.0,818.0,,
ZCTA5 10533,,,,354.0,1571.0,,
ZCTA5 10535,,,,0.0,207.0,,
ZCTA5 10536,,,,481.0,2587.0,,
ZCTA5 10537,,,,86.0,425.0,,
ZCTA5 10538,,,,1395.0,4309.0,,
ZCTA5 10541,,,,1155.0,4047.0,,
ZCTA5 10543,,,,2509.0,3370.0,,
ZCTA5 10545,,,,18.0,47.0,,
ZCTA5 10546,,,,56.0,209.0,,
ZCTA5 10547,,,,424.0,1173.0,,
ZCTA5 10548,,,,55.0,529.0,,
ZCTA5 10549,,,,3108.0,2827.0,,
ZCTA5 10550,,,,6880.0,2788.0,,
ZCTA5 10552,,,,2223.0,3453.0,,
ZCTA5 10553,,,,1435.0,1360.0,,
ZCTA5 10560,,,,194.0,1380.0,,
ZCTA5 10562,,,,6755.0,4439.0,,
ZCTA5 10566,,,,4523.0,2717.0,,
ZCTA5 10567,,,,881.0,3178.0,,
ZCTA5 10570,,,,560.0,2631.0,,
ZCTA5 10573,,,,10320.0,5011.0,,
ZCTA5 10576,,,,121.0,1065.0,,
ZCTA5 10577,,,,579.0,621.0,,
ZCTA5 10578,,,,104.0,143.0,,
