NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price,total_population
ZCTA5 10526,,,,298.0,362.0,,
ZCTA5 10527,,,,43.0,141.0,,
ZCTA5 10528,,,,3574.0,2702.0,,
ZCTA5 10530,,,,3221.0,2972.0,,
ZCTA5 10532,,,,828.0,825.0,,
ZCTA5 10533,,,,1407.0,1482.0,,
ZCTA5 10535,,,,0.0,36.0,,
ZCTA5 10536,,,,1307.0,2395.0,,
ZCTA5 10537,,,,853.0,814.0,,
ZCTA5 10538,,,,2901.0,3417.0,,
ZCTA5 10541,,,,3378.0,3959.0,,
ZCTA5 10543,,,,6331.0,4101.0,,
ZCTA5 10545,,,,35.0,23.0,,
ZCTA5 10546,,,,125.0,294.0,,
ZCTA5 10547,,,,1755.0,1092.0,,
ZCTA5 10548,,,,406.0,685.0,,
ZCTA5 10549,,,,4738.0,2677.0,,
ZCTA5 10550,,,,13134.0,3125.0,,
ZCTA5 10552,,,,6056.0,3670.0,,
ZCTA5 10553,,,,3953.0,1390.0,,
ZCTA5 10560,,,,700.0,1309.0,,
ZCTA5 10562,,,,10835.0,4695.0,,
ZCTA5 10566,,,,7299.0,3014.0,,
ZCTA5 10567,,,,3512.0,3781.0,,
ZCTA5 10570,,,,1972.0,2540.0,,
ZCTA5 10573,,,,15478.0,5799.0,,
ZCTA5 10576,,,,827.0,1356.0,,
ZCTA5 10577,,,,847.0,661.0,,
ZCTA5 10578,,,,122.0,165.0,,
ZCTA5 10579,,,,789.0,1203.0,,
ZCTA5 10580,,,,3497.0,3926.0,,
ZCTA5 10583,,,,9701.0,8470.0,,
ZCTA5 10588,,,,1168.0,660.0,,
ZCTA5 10589,,,,1080.0,1919.0,,
ZCTA5 10590,,,,871.0,1831.0,,
ZCTA5 10591,,,,7424.0,3737.0,,
ZCTA5 10594,,,,962.0,1015.0,,
ZCTA5 10595,,,,1834.0,1573.0,,
ZCTA5 10596,,,,105.0,185.0,,
ZCTA5 10597,,,,27.0,307.0,,
ZCTA5 10598,,,,4874.0,5516.0,,
ZCTA5 10601,,,,3830.0,2151.0,,
ZCTA5 10603,,,,4713.0,3608.0,,
ZCTA5 10604,,,,3793.0,1812.0,,
ZCTA5 10605,,,,4740.0,3382.0,,
ZCTA5 10606,,,,6571.0,2437.0,,
ZCTA5 10607,,,,3014.0,1350.0,,
ZCTA5 10701,,,,23267.0,6310.0,,
ZCTA5 10703,,,,8282.0,2761.0,,
ZCTA5 10704,,,,11202.0,4759.0,,
ZCTA5 10705,,,,17009.0,3776.0,,
ZCTA5 10706,,,,1490.0,1865.0,,
ZCTA5 10707,,,,2328.0,2086.0,,
ZCTA5 10708,,,,4221.0,4364.0,,
ZCTA5 10709,,,,1389.0,1750.0,,
ZCTA5 10710,,,,7702.0,4636.0,,
ZCTA5 10801,,,,16238.0,4852.0,,
ZCTA5 10803,,,,2320.0,2313.0,,
ZCTA5 10804,,,,2790.0,3190.0,,
ZCTA5 10805,,,,7250.0,2645.0,,
