NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price,total_population
ZCTA5 06390,,,,4.0,36.0,,
ZCTA5 10001,,,,3527.0,6810.0,,
ZCTA5 10002,,,,12407.0,12928.0,,
ZCTA5 10003,,,,6790.0,16227.0,,
ZCTA5 10004,,,,563.0,1210.0,,
ZCTA5 10005,,,,1236.0,3191.0,,
ZCTA5 10006,,,,543.0,1368.0,,
ZCTA5 10007,,,,950.0,2269.0,,
ZCTA5 10009,,,,6214.0,17032.0,,
ZCTA5 10010,,,,3570.0,9368.0,,
ZCTA5 10011,,,,6407.0,17417.0,,
ZCTA5 10012,,,,3547.0,8203.0,,
ZCTA5 10013,,,,4468.0,7800.0,,
ZCTA5 10014,,,,3089.0,12014.0,,
ZCTA5 10016,,,,6708.0,17917.0,,
ZCTA5 10017,,,,2430.0,6249.0,,
ZCTA5 10018,,,,2539.0,2885.0,,
ZCTA5 10019,,,,7154.0,13819.0,,
ZCTA5 10020,,,,0.0,0.0,,
ZCTA5 10021,,,,4802.0,14573.0,,
ZCTA5 10022,,,,2471.0,10674.0,,
ZCTA5 10023,,,,7298.0,16377.0,,
ZCTA5 10024,,,,5451.0,16643.0,,
ZCTA5 10025,,,,11833.0,20072.0,,
ZCTA5 10026,,,,4485.0,6661.0,,
ZCTA5 10027,,,,9913.0,9479.0,,
ZCTA5 10028,,,,5096.0,16512.0,,
ZCTA5 10029,,,,9556.0,10072.0,,
ZCTA5 10030,,,,3579.0,4026.0,,
ZCTA5 10031,,,,12023.0,8937.0,,
ZCTA5 10032,,,,15477.0,9297.0,,
ZCTA5 10033,,,,13236.0,9416.0,,
ZCTA5 10034,,,,9373.0,6004.0,,
ZCTA5 10035,,,,5580.0,4343.0,,
ZCTA5 10036,,,,6085.0,9257.0,,
ZCTA5 10037,,,,2128.0,3089.0,,
ZCTA5 10038,,,,3271.0,6032.0,,
ZCTA5 10039,,,,3365.0,3212.0,,
ZCTA5 10040,,,,10100.0,6489.0,,
ZCTA5 10044,,,,4400.0,2353.0,,
ZCTA5 10065,,,,3306.0,8643.0,,
ZCTA5 10069,,,,1207.0,1383.0,,
ZCTA5 10075,,,,2372.0,6571.0,,
ZCTA5 10103,,,,0.0,0.0,,
ZCTA5 10110,,,,0.0,0.0,,
ZCTA5 10111,,,,0.0,0.0,,
ZCTA5 10112,,,,0.0,0.0,,
ZCTA5 10115,,,,0.0,0.0,,
ZCTA5 10119,,,,0.0,0.0,,
ZCTA5 10128,,,,6535.0,17976.0,,
ZCTA5 10152,,,,0.0,0.0,,
ZCTA5 10153,,,,0.0,0.0,,
ZCTA5 10154,,,,0.0,0.0,,
ZCTA5 10162,,,,98.0,462.0,,
ZCTA5 10165,,,,0.0,0.0,,
ZCTA5 10167,,,,0.0,0.0,,
ZCTA5 10168,,,,0.0,0.0,,
ZCTA5 10169,,,,0.0,0.0,,
ZCTA5 10170,,,,0.0,0.0,,
ZCTA5 10171,,,,0.0,0.0,,
ZCTA5 10172,,,,0.0,0.0,,
ZCTA5 10173,,,,0.0,0.0,,
ZCTA5 10174,,,,0.0,0.0,,
ZCTA5 10177,,,,0.0,0.0,,
ZCTA5 10199,,,,78.0,23.0,,
ZCTA5 10271,,,,0.0,0.0,,
ZCTA5 10278,,,,0.0,0.0,,
ZCTA5 10279,,,,0.0,0.0,,
ZCTA5 10280,,,,1539.0,3151.0,,
ZCTA5 10282,,,,950.0,1728.0,,
ZCTA5 10301,,,,3587.0,5154.0,,
ZCTA5 10302,,,,2699.0,2078.0,,
ZCTA5 10303,,,,3315.0,2831.0,,
ZCTA5 10304,,,,4631.0,5036.0,,
ZCTA5 10305,,,,4604.0,6331.0,,
ZCTA5 10306,,,,3366.0,6690.0,,
ZCTA5 10307,,,,479.0,2359.0,,
ZCTA5 10308,,,,1892.0,4744.0,,
ZCTA5 10309,,,,1118.0,5129.0,,
ZCTA5 10310,,,,2597.0,2995.0,,
ZCTA5 10311,,,,0.0,0.0,,
ZCTA5 10312,,,,1710.0,8861.0,,
ZCTA5 10314,,,,6457.0,12570.0,,
ZCTA5 10451,,,,7433.0,4070.0,,
ZCTA5 10452,,,,19078.0,5097.0,,
ZCTA5 10453,,,,18517.0,4635.0,,
ZCTA5 10454,,,,6526.0,1290.0,,
ZCTA5 10455,,,,8007.0,2230.0,,
ZCTA5 10456,,,,18382.0,5566.0,,
ZCTA5 10457,,,,17630.0,3717.0,,
