NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price,white_non-hispanic_percent,foreign_born_not_a_us_citizen_percent,bachelors_percent
10001,21097,34.6,11851,67795.0,2633,5705,1580.0,0.5617386358249988,0.12480447456984406,0.2704175949187088
10002,81335,39.7,17536,32407.0,15332,11687,770.0,0.21560213930042418,0.18850433392758345,0.14368967849019487
10003,55190,32.5,39737,88601.0,5617,16443,1747.0,0.7200036238448995,0.10177568400072477,0.29793440840732016
10004,2604,33.1,1715,127448.0,343,932,1662.0,0.6586021505376344,0.13172043010752688,0.3579109062980031
10005,4935,29.1,3585,117885.0,1100,1652,1577.0,0.7264437689969605,0.22289766970618036,0.3347517730496454
10006,2722,30.7,1614,111617.0,556,971,1492.0,0.5929463629684056,0.20426157237325496,0.3567229977957384
10007,5892,34.3,4060,191900.0,1067,1688,1407.0,0.6890699253224711,0.1810930074677529,0.286490156143924
10009,62335,36.8,30712,55316.0,7782,15946,1322.0,0.49269270875110294,0.12484158177588835,0.2558113419427288
10010,28954,35.3,19816,94242.0,3128,9215,1946.0,0.6843959383850245,0.10803343234095462,0.3182634523727292
10011,51064,39.6,37172,99700.0,5038,16756,1754.0,0.7279492401691995,0.09866050446498512,0.3281372395425349
10012,24342,34.1,17794,77072.0,3086,8289,1710.0,0.7309999178374825,0.12677676444006244,0.34052255361104267
10013,25942,37.1,12376,64806.0,4220,5555,1165.0,0.47706422018348627,0.16267057281628247,0.21413152416930076
10014,31685,36.8,26889,102747.0,2928,11546,1439.3333333333333,0.8486350007890169,0.09240965756667192,0.3643995581505444
10016,53754,32.7,38374,102796.0,7164,18284,1713.6666666666665,0.713881757636641,0.13327380287978569,0.340142128957845
10017,15603,38.1,11078,105974.0,2587,5729,1988.0,0.7099916682689227,0.16580144843940267,0.3671729795552137
10018,5290,31.3,2494,84850.0,1240,1323,1895.5,0.47145557655954634,0.23440453686200377,0.2500945179584121
10019,40778,37.6,25609,79508.0,6896,12489,1803.0,0.628010201579283,0.1691107950365393,0.3062680857325028
10021,41546,41.8,34799,109343.0,3848,13592,1843.0,0.8376016945072932,0.09262022818081163,0.3271554421604968
10022,28847,46.7,23353,109625.0,3560,10446,1860.5,0.8095469199570146,0.1234097133150761,0.36211737789024856
10023,60035,40.1,46073,105260.0,6702,16170,1878.0,0.7674356625301907,0.11163487965353544,0.26934288331806444
10024,60239,40.7,46607,111582.0,5982,15922,1777.0,0.7737014226663789,0.09930443732465678,0.26431381663042214
10025,95330,37.5,54216,64592.0,12258,20329,1277.0,0.568719185985524,0.128584915556488,0.21324871499003462
10026,36026,33.0,6796,39574.0,4662,5307,875.0,0.18864153666796202,0.12940653972131239,0.14731027591184145
10027,58834,30.9,14182,35157.0,9307,7020,849.0,0.24105109290546284,0.15819084203011863,0.11931876126049563
10028,45345,38.6,38565,107885.0,4168,13777,1881.0,0.8504796559708898,0.09191752122615503,0.3038262211930753
10029,78451,32.7,10369,31851.0,12683,7052,729.0,0.13217167403857186,0.16166779263489311,0.08989050490114849
10030,29186,34.9,2348,29063.0,4794,3204,742.0,0.08044953059686151,0.1642568354690605,0.1097786610018502
10031,58736,32.0,7515,36188.0,13913,6957,998.0,0.1279453827295015,0.2368734677199673,0.11844524652683193
10032,62798,33.6,6061,35079.0,18445,5453,977.0,0.09651581260549699,0.2937195452084461,0.0868339756043186
10033,58027,35.0,12649,40625.0,15107,6887,1065.0,0.21798473124579937,0.26034432247057404,0.1186861288710428
10034,40925,37.0,6927,42919.0,11816,5758,1031.0,0.16926084300549787,0.28872327428222355,0.14069639584605986
10035,35290,32.5,3219,26365.0,5816,3094,621.0,0.09121564182487957,0.16480589402096912,0.08767356191555682
10036,22371,39.8,12409,62997.0,4218,6651,1454.0,0.5546913414688659,0.18854767332707523,0.29730454606410084
10037,17489,38.0,802,40681.0,1267,2496,847.0,0.04585739607753445,0.07244553719480816,0.1427182800617531
10038,19530,33.6,8268,65473.0,2789,3683,1411.0,0.42334869431643624,0.14280593958013313,0.1885816692268305
10039,25257,34.0,1105,34096.0,3622,2455,740.0,0.04375024745615077,0.14340578849427882,0.09720077602248882
10040,43753,36.1,9022,37244.0,10715,5985,1046.0,0.20620300322263616,0.24489749274335473,0.1367906200717665
10044,11399,39.6,5141,76250.0,3427,1810,1931.0,0.4510044740766734,0.3006404070532503,0.15878585840863232
10065,32193,39.8,27102,111334.0,3426,10272,1887.0,0.8418600316839064,0.10642065045196161,0.31907557543565374
10069,5214,35.5,3625,165417.0,761,2057,1815.0,0.6952435749904105,0.14595320291522823,0.39451476793248946
10075,26082,40.6,21305,99438.0,2169,8774,1743.0,0.8168468675715053,0.0831608005521049,0.3364005827773944
10110,4,41.0,2,98285.0,0,0,1778.5,0.5,0.0,0.0
10128,58793,38.4,44336,97132.0,6456,17157,1814.0,0.7541033796540404,0.10980899086625959,0.2918204548160495
10162,1608,39.6,1188,181417.0,64,561,1643.75,0.7388059701492538,0.03980099502487562,0.34888059701492535
10280,7741,37.5,5178,135199.0,1462,2558,1473.5,0.6689058261206563,0.1888644877922749,0.3304482624983852
10282,5027,34.1,3041,232031.0,1555,1409,1303.25,0.6049333598567734,0.3093296200517207,0.28028645315297396
10301,39367,34.0,17578,53943.0,4346,4660,1133.0,0.4465161175603932,0.11039703304798436,0.11837325678868088
10302,17128,32.9,5794,56518.0,2942,1385,1272.0,0.33827650630546474,0.1717655301261093,0.08086174684726763
