NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price,white_non-hispanic_percent,foreign_born_not_a_us_citizen_percent,bachelors_percent
10001,23947,35.3,12349,85221.0,3814,6963,1912.0,0.5156804610180816,0.1592683843487702,0.29076711070280203
10002,77925,41.8,16208,35449.0,13365,13236,936.0,0.20799486685915944,0.17151106833493743,0.16985563041385948
10003,55035,32.6,40150,104441.0,6973,17264,2201.0,0.7295357499772872,0.12670119015172163,0.31369128736258745
10004,2990,35.6,1882,140450.0,567,1227,3049.0,0.6294314381270903,0.18963210702341138,0.41036789297658866
10005,8680,30.2,6200,154213.0,1321,2869,3141.0,0.7142857142857143,0.1521889400921659,0.3305299539170507
10006,3579,30.7,2303,145893.0,510,1363,3011.0,0.643475831237776,0.14249790444258173,0.3808326348141939
10007,7036,35.4,4753,242644.0,1159,1980,3254.0,0.6755258669698693,0.16472427515633883,0.28140989198408184
10009,60141,36.8,29968,60521.0,6256,17355,1549.0,0.49829567183784773,0.10402221446267937,0.2885718561380755
10010,33119,34.6,21184,115084.0,3629,9830,2513.0,0.6396328391557716,0.1095745644494097,0.2968084785168634
10011,50711,39.8,35997,123208.0,5589,16953,2125.0,0.7098459900218888,0.11021277434876062,0.3343061663150007
10012,24527,34.5,16992,104561.0,3810,8278,2203.0,0.6927875402617524,0.15533901414767398,0.33750560606678354
10013,29619,37.8,14966,106056.0,4326,8136,1615.0,0.5052837705526858,0.14605489719436848,0.27468854451534486
10014,31794,36.8,26813,127973.0,3611,13259,2381.0,0.8433352204818519,0.11357488834371265,0.4170283701327294
10016,51448,33.3,32397,109250.0,6265,18266,2506.0,0.6297037785725392,0.12177344114445654,0.35503809671901726
10017,16388,39.9,11397,118469.0,2254,6356,2242.0,0.6954478886990481,0.13753966316817184,0.38784476446180133
10018,9719,32.0,4439,107861.0,2685,3071,3008.0,0.45673423191686385,0.27626299001954935,0.31597901018623314
10019,41592,39.6,24189,99063.0,6656,13322,2251.0,0.5815781881130987,0.16003077514906713,0.3203019811502212
10021,44983,40.2,34829,123842.0,4372,14868,2108.0,0.7742702798835116,0.09719227263632928,0.3305248649489807
10022,30807,47.7,24318,133208.0,2189,11168,2463.0,0.7893660531697342,0.0710552796442367,0.3625150128217613
10023,61514,42.6,44309,123951.0,7483,15870,2305.0,0.7203075722599733,0.12164710472412785,0.2579900510452905
10024,58512,43.1,44643,126107.0,5097,16081,2027.0,0.7629716981132075,0.08711033634126333,0.27483251298878864
10025,94382,41.7,51020,82352.0,12258,21437,1442.0,0.5405691763259943,0.1298764594943951,0.2271301731262317
10026,40105,34.4,8184,54349.0,4833,6487,1089.0,0.2040643311307817,0.12050866475501808,0.16175040518638573
10027,65365,30.7,17126,45536.0,10282,9297,1100.0,0.2620056605216859,0.15730130803947068,0.1422320813891226
10028,50091,38.8,40971,119203.0,4797,17011,2284.0,0.8179313649158532,0.09576570641432593,0.3396019244974147
10029,80866,34.0,12508,34015.0,10527,10986,895.0,0.15467563623772662,0.13017831968936264,0.1358543763757327
10030,30163,34.7,3068,36118.0,3424,3993,944.0,0.10171402048867818,0.11351656002387031,0.13238073135961276
10031,62382,34.8,10711,44040.0,12686,8535,1240.0,0.1717001699208105,0.2033599435734667,0.1368183129748966
10032,63185,34.6,8631,41890.0,14590,9241,1159.0,0.13659887631558124,0.23090923478673736,0.14625306639233995
10033,60810,36.0,14228,53044.0,14568,9206,1341.0,0.23397467521789178,0.23956586087814505,0.15138957408321
10034,44186,36.4,7991,50909.0,10134,5688,1270.0,0.18084913773593445,0.22934866247227628,0.12872855655637533
10035,35366,36.5,3645,27932.0,5877,3633,816.0,0.10306509076514166,0.16617655375219137,0.10272578182435108
10036,26868,37.1,14393,93707.0,5900,9440,2136.0,0.5356930177162423,0.21959207979752865,0.3513473276760459
10037,21184,34.4,1188,39979.0,1899,3184,1098.0,0.05608006042296072,0.08964312688821752,0.15030211480362538
10038,22457,35.6,10020,85032.0,3144,5797,2055.0,0.44618604444048626,0.14000089059090706,0.25813777441332325
10039,27203,32.8,1693,34197.0,3234,3184,902.0,0.06223578281807154,0.11888394662353417,0.11704591405359703
10040,46003,36.6,9601,47189.0,10475,6892,1291.0,0.2087037801882486,0.2277025411386214,0.14981631632719605
10044,11945,41.5,4734,92623.0,4745,2302,2310.0,0.39631645039765595,0.39723733779824194,0.19271661783172875
10065,29565,40.3,24551,124322.0,3527,9630,2385.0,0.830407576526298,0.11929646541518688,0.3257229832572298
10069,5195,35.4,3627,137105.0,1026,1381,3050.0,0.6981713185755534,0.197497593840231,0.265832531280077
10075,22818,42.6,17774,129594.0,2725,6906,2085.0,0.7789464457884127,0.11942326233675168,0.30265579805416776
10128,62743,38.7,44357,111937.0,7273,19402,2143.0,0.7069633265862327,0.11591731348516966,0.3092297148685909
10162,1324,43.6,1308,182530.0,39,383,3067.0,0.9879154078549849,0.02945619335347432,0.2892749244712991
10280,9820,38.2,6657,161419.0,1648,3300,3190.0,0.6779022403258655,0.16782077393075356,0.3360488798370672
10282,5644,35.3,4043,108618.5,1077,1778,2962.0,0.7163359319631467,0.19082211197732105,0.315024805102764
10301,39451,37.9,16424,55818.0,3998,4942,1232.0,0.41631390839268967,0.10134090390611138,0.12526932143671896
10302,18539,33.6,6164,60968.0,2534,1966,1251.0,0.332488267975619,0.13668482658180053,0.10604671233615622
10303,25804,31.9,4953,59898.0,2999,2583,1027.0,0.19194698496357154,0.11622229111765618,0.10010075957215936
10304,41884,38.3,15418,54567.0,4862,5104,1077.0,0.3681119281825996,0.11608251360901538,0.12186037627733741
10305,42311,39.5,26593,76044.0,4841,5949,1258.0,0.6285126799177518,0.11441469121505046,0.14060173477346316
10306,54021,42.9,40631,80025.0,3189,7112,1306.0,0.7521334295921956,0.05903259843394235,0.1316525055071176
10307,15528,37.8,13501,81356.0,476,2241,1173.0,0.8694616177228233,0.0306543019062339,0.14431993817619784
10308,30024,43.0,24852,91953.0,1874,4298,1410.0,0.8277378097521982,0.06241673328004263,0.1431521449507061
10309,33660,40.4,29114,100343.0,1170,4767,1341.0,0.8649435531788473,0.034759358288770054,0.14162210338680928
10310,23708,36.5,9695,69838.0,2495,2800,1130.0,0.40893369326809514,0.10523873797874135,0.11810359372363759
10312,61058,42.1,50340,90797.0,1701,8989,1244.0,0.8244619869632153,0.027858757247207572,0.14722067542336795
10314,89960,41.4,57831,80956.0,6290,11869,1343.0,0.6428523788350378,0.06991996442863495,0.1319364161849711
10451,48240,33.3,1290,26979.0,7364,3841,992.0,0.026741293532338308,0.15265339966832503,0.07962271973466004
10452,77983,31.1,1111,27206.0,20117,4944,1108.0,0.014246694792454766,0.25796647987381865,0.0633984329918059
10453,82232,30.1,761,24421.0,19614,4807,1089.0,0.009254304893472128,0.2385202840743263,0.058456561922365986
10454,38654,29.4,1051,21542.0,6627,1474,731.0,0.027189941532571014,0.17144409375485073,0.03813318155947638
10455,42558,31.1,475,25489.0,7978,2182,910.0,0.011161238780017858,0.18746181681469995,0.051271206353682035
10456,94667,30.5,1225,26724.0,18493,5357,1002.0,0.012940095281354643,0.19534790370456442,0.056587828916095366
10457,75668,29.4,1340,27036.0,18217,3680,1107.0,0.017708939049532166,0.2407490616905429,0.04863350425543162
