NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price,white_non-hispanic_percent,foreign_born_not_a_us_citizen_percent,bachelors_percent
10001,24117,36.9,13163,92840.0,8119,7560,2128.0,0.5457975701787121,0.3366504955010988,0.31347182485383757
10002,74479,44.3,16396,36982.0,35969,13208,980.0,0.22014259052887392,0.482941500288672,0.17733857865975644
10003,53977,32.5,37316,118161.0,12056,16374,2331.0,0.6913314930433333,0.22335439168534746,0.303351427459844
10004,3335,37.4,1977,190223.0,823,1269,3324.0,0.5928035982008996,0.24677661169415294,0.3805097451274363
10005,8701,30.3,6236,189702.0,1942,3289,3356.0,0.7166992299735663,0.22319273646707274,0.3780025284450063
10006,3092,33.9,1995,179044.0,1001,1000,3183.0,0.6452134540750324,0.32373868046571797,0.32341526520051744
10007,7408,35.1,5063,224063.0,1889,2610,3394.0,0.6834503239740821,0.2549946004319654,0.3523218142548596
10009,58293,37.0,30059,63717.0,17804,17212,1723.0,0.5156536805448338,0.3054226064879145,0.29526701319197846
10010,35906,35.2,21848,132988.0,8760,10434,2509.0,0.6084776917506823,0.24397036706957054,0.2905921015986186
10011,49949,41.4,36152,138272.0,12686,17385,2226.0,0.7237782538188953,0.2539790586398126,0.34805501611643874
10012,23318,34.1,16042,106467.0,6632,8048,2267.0,0.6879663779054808,0.2844154730251308,0.34514109271807186
10013,28799,37.9,15557,113191.0,9822,8392,1692.0,0.5401923677905482,0.341053508802389,0.2913990069099622
10014,30344,37.6,25280,133501.0,5551,11659,2480.0,0.8331136303717374,0.18293567097284472,0.38422752438702873
10016,52886,32.7,34510,126628.0,14818,19150,2630.0,0.6525356427031729,0.2801875732708089,0.36209961048292555
10017,15846,39.6,11014,131045.0,5378,6433,2485.0,0.6950650006310741,0.33939164457907356,0.40596996087340653
10018,8806,33.2,4264,122484.0,4206,2759,3371.0,0.4842153077447195,0.47762888939359527,0.3133091074267545
10019,45498,38.3,25155,103792.0,15920,14379,2096.0,0.5528814453382567,0.3499054903512242,0.3160358697085586
10021,44280,43.5,36034,122169.0,9176,12740,2250.0,0.8137759710930442,0.20722673893405602,0.28771454381210476
10022,31130,46.2,23882,150718.0,7188,10587,2562.0,0.7671699325409572,0.2309026662383553,0.34008994539029874
10023,62541,43.3,44765,132605.0,16556,17062,2346.0,0.7157704545817943,0.26472234214355383,0.2728130346492701
10024,58102,43.7,44260,143623.0,11816,16823,2281.0,0.7617637947058621,0.2033664934081443,0.28954252865650065
10025,92251,41.4,50186,91624.0,27960,19997,1605.0,0.5440157830267423,0.30308614540763784,0.21676729791546975
10026,38585,35.6,7979,59691.0,10732,6531,1230.0,0.20679020344693533,0.2781391732538551,0.16926266683944538
10027,64988,31.1,17113,51938.0,18512,9938,1249.0,0.2633255370222195,0.2848525881701237,0.15292053917646334
10028,46768,38.8,37856,122969.0,10264,15031,2346.0,0.8094423537461513,0.21946630174478277,0.32139497092028735
10029,76713,35.9,11830,33720.0,23916,9330,914.0,0.1542111506524318,0.31175941496226195,0.12162215009190099
10030,31060,35.4,3351,42348.0,8063,4103,1023.0,0.1078879587894398,0.2595943335479717,0.1320991629104958
10031,59586,34.5,11352,53660.0,25082,9242,1425.0,0.19051455039774443,0.42093780418219046,0.15510354781324473
10032,63214,34.6,8810,53525.0,30723,9445,1239.0,0.13936786154965672,0.48601575600341695,0.14941310469199862
10033,58349,35.7,14682,63093.0,28732,9821,1460.0,0.25162384959468026,0.49241632247339284,0.16831479545493497
10034,42399,36.7,8477,54406.0,20145,6253,1347.0,0.19993396070662045,0.47512913040401894,0.14747989339371212
10035,36048,36.1,4140,29799.0,11078,4258,863.0,0.1148468708388815,0.30731247225920993,0.1181202840656902
10036,28487,37.6,14394,95301.0,10979,9736,2163.0,0.5052831115947625,0.3854038684312142,0.34176993014357426
10037,20462,36.1,1218,46263.0,4514,3170,1216.0,0.05952497312090705,0.22060404652526636,0.15492131756426547
10038,23311,36.1,11168,95702.0,8059,6357,2539.0,0.47908712624941013,0.34571661447385355,0.27270387370769167
10039,27854,35.1,1767,42278.0,7850,3260,965.0,0.06343792633015007,0.28182666762403963,0.11703884540819989
10040,44800,37.8,9955,49677.0,23881,7329,1389.0,0.22220982142857143,0.5330580357142857,0.16359375
10044,12440,41.6,4673,104808.0,6733,2227,2641.0,0.37564308681672026,0.5412379421221865,0.1790192926045016
10065,29530,38.9,22782,148441.0,7541,9544,2480.0,0.7714866237724348,0.255367422959702,0.3231967490687436
10069,6051,36.3,3690,132500.0,2174,1822,2345.5,0.6098165592464055,0.3592794579408362,0.3011072549991737
10075,22252,45.6,15865,138640.0,6259,6436,2211.0,0.712969620708251,0.2812780873629337,0.2892324285457487
10128,58636,39.3,41400,121829.0,14882,17473,2312.0,0.706050890238079,0.25380312436046115,0.29799099529299405
10162,1486,38.9,1181,152336.0,301,403,2292.0,0.7947510094212651,0.20255720053835802,0.2711978465679677
10279,42,38.9,42,167548.0,0,0,2840.5,1.0,0.0,0.0
10280,9496,38.9,6248,182760.0,3358,3104,3389.0,0.6579612468407751,0.3536225779275484,0.32687447346251053
10282,5783,36.1,3985,122406.0,1697,1464,3435.0,0.6890887082828981,0.29344630814456163,0.2531558014871174
10301,38280,39.3,16980,62052.0,10467,5320,1328.0,0.44357366771159873,0.27343260188087776,0.13897596656217345
10302,18037,35.0,5182,66096.0,5029,2207,1375.0,0.2872983312080723,0.27881576758884513,0.1223595941675445
10303,27401,32.4,5055,67215.0,8338,2868,1094.0,0.18448231816357066,0.3042954636692092,0.10466771285719499
10304,41112,38.7,15589,54199.0,13692,4893,1054.0,0.37918369332554974,0.333041447752481,0.11901634559252773
10305,42726,39.1,25696,79742.0,15548,6429,1329.0,0.601413659130272,0.3639002012825914,0.15047043954500772
10306,53877,43.8,38825,80834.0,13591,7068,1374.0,0.7206229003099653,0.25225977689923346,0.1311877053288045
10307,14906,40.8,12585,85103.0,1797,2483,1216.0,0.8442908895746679,0.12055548101435663,0.1665772172279619
10308,29512,43.0,24979,103027.0,5705,4694,1753.0,0.846401463811331,0.1933111954459203,0.15905394415830848
10309,34058,40.6,28964,109457.0,5812,5492,1422.0,0.8504316166539433,0.1706500675318574,0.161254330847378
10310,23800,39.1,9995,76075.0,6308,3129,1296.0,0.4199579831932773,0.2650420168067227,0.13147058823529412
10312,61392,41.6,49840,97407.0,9627,8947,1280.0,0.8118321605420902,0.15681196247068022,0.14573560072973676
10314,89792,41.1,56061,91505.0,25197,13102,1429.0,0.624342925873129,0.280615199572345,0.14591500356379186
10451,48136,34.1,1595,30349.0,18644,4254,1077.0,0.03313528336380256,0.3873192620907429,0.08837460528502576
