Created Date,Incident Zip,Unique Key
2013,07102,5
2011,1106,1
2015,32750,1
2019,92108,2
2017,07010,1
2013,10471,3071
2010,11001-2024,2
2013,11559,7
2011,07006,1
2022,11251,18
2012,07604,1
2011,44125,1
2013,21030,1
2015,000000,3
2010,92193,1
2018,72745,2
2016,11414,7537
2012,11583,1
2020,11368,25213
2014,10163-4668,2
2011,07302,13
2022,10301,11638
2015,11363,2341
2017,11359,23
2010,36066,1
2013,10708,1
2019,11215,25814
2016,10115,7
2012,10282,171
2020,11417,13648
2013,33309,1
2010,01843,1
2013,11385,19225
2013,11747,16
2010,55177,1
2015,10457,24124
2010,13221,1
2014,11776,5
2014,11223,15344
2018,10122,12
2012,12303,1
2010,07028,1
2010,11692,4354
2010,07748,1
2012,10536,1
2016,33146,1
2014,11221,25198
2010,11747,5
2017,06903,1
2012,10458,25362
2016,10465,10507
2010,33223,1
2022,11430,2026
2010,33351,1
2012,89434,6
2015,11565,4
2019,11219,19646
2014,11204,15183
2019,07304,4
2013,11236,14201
2019,10120,91
2010,11106,7497
2010,10502,5
2017,00000,18
2016,11579,1
2011,40232,1
2014,171111,1
2017,91942,1
2021,11214,23077
2012,12508,1
2017,11004,2442
2017,97062,1
2021,10029,20917
2014,17032,1
2012,18355,1
2012,10112,5
2012,11367,7471
2012,11417,6036
2015,55105,1
2019,10583,2
2015,07726,1
2022,11222,19970
2014,10030,9870
2010,13440,1
2012,11784,1
2018,10027,18747
2019,10475,3366
2012,10001,6280
2011,08873,1
2014,74106,1
2018,11575,1
2011,1066,1
2016,60077,1
2010,60076-102,1
2012,11218,13217
2015,10174,1
2014,30303,1
2011,98130,1
2021,10045,6
2012,10172,1
2010,32225,1
2014,10107,21
2018,06830,3
2010,11431,3
2010,10005,1425
2019,10118,49
2014,000000,3
2014,14108,1
2014,11433,8897
2021,00083,7
2011,55164,6
2016,0,9
2016,02346,1
2011,0703,1
2018,N5X3A6,1
2016,10532,2
2019,11735-0230,1
2017,10549,1
2013,11583,1
2021,10044,433
2015,11702,1
2013,12553,1
2016,11024,1
2010,75403-5202,1
2019,11756,3
2010,55318-3056,1
2014,11901,1
2012,98057,1
2010,10033,15672
2011,07208,1
2014,10108,1
2011,99999,18
2015,11949,1
2011,85038,1
2015,10037,4565
2010,98057,5
2021,11102,13276
2012,10970,1
2013,46,1
2017,0000000,2
2016,11030,6
2022,10111,6
2012,10006,751
2010,43216,2
2010,23462,1
2015,11367,7879
2021,11207,40347
2010,10701,5
2017,60077,3
2015,14526,1
2016,11359,16
2014,07646,1
2020,10158,7
2011,10506,3
2019,55102-1211,1
2013,11104,5207
2014,33304,1
2013,07644,1
2019,11211,23797
2020,11369,9314
2012,11217,9605
2014,11375,13687
2010,11774,1
2014,10541,1
2015,10467,33132
2011,31008,1
2021,11436,8394
2013,10523,2
2013,11003,8
2010,78704,1
2016,11370,5389
2013,07607,1
2010,07203,2
2012,11235,17205
2010,07093,4
2014,11704,2
2010,60197-4191,1
2017,06501,1
2017,43218-2273,1
2017,11771,1
2011,33716,1
2018,07007,2
2016,10464,2094
2016,61826,1
2016,10055,2
2016,11218,18128
2015,60614,2
2020,10309,10315
2017,10033,19547
2014,11552,4
2013,07109,1
2010,11557,3
2016,07410,2
2010,90049,1
2019,11241,10
2017,07105,1
2010,21297-1051,1
2016,07608,1
2016,11507,1
2015,11213,23874
2016,10805,2
2015,11377,18393
2015,11420,12447
2018,10550,4
2019,11802-9060,1
2014,32255,2
2020,10176,6
2017,29615,1
2010,07652,1
2011,30062,1
2017,11369,9271
2016,10543,2
2021,11747,2
2016,10111,13
2019,10456,25620
2010,10562,2
2017,10152,19
2014,10169,1
2016,10704,7
2017,44515,1
2015,10464,2539
2019,11413,12509
2014,00083,120
2013,14020,1
2010,34668,2
2011,10458,27745
2018,11042,7
2012,11012,1
2018,23450,1
2010,10021,6514
2012,07652,2
2019,10112,39
2015,31405,1
2012,07088,1
2013,11103,7136
2011,54305,1
2010,11710,5
2021,11226,50686
2010,10163,1
2012,75006,2
2014,10550,5
2021,11701,3
2015,11697,404
2016,070110,1
2014,11216,22187
2016,11209,19480
2014,11369,7615
2011,07945,1
2021,12345,62
2010,07928,1
2021,11434,19568
2020,11238,25904
2017,11360,3359
2013,11701,1
2017,92108,1
2010,95410,1
2010,07015,1
2011,1141,1
2012,07102,4
2010,11767,1
2010,55164-0909,1
2016,10037,5577
2016,33024,1
2015,32819-5257,1
2012,07304,3
2012,10023,8412
2010,11788,8
2010,76155,1
2020,10022,7517
2010,11428,4157
2018,11225,28372
2013,11779,2
2010,10454,7171
2020,10312,18495
2010,50701,5
2015,3096636700,1
2013,23606,1
2010,5124,1
2020,11428,5699
2013,10801,6
2019,11352,1
2012,031546,1
2011,1373,1
2012,11501,10
2015,L4W 4Y5,1
2015,11507,1
2011,10459,13307
2015,07666,3
2013,07481,1
2010,000000,5
2011,111694,1
2010,63301,2
2012,11024,2
2013,10602,1
2011,07054,3
2017,18104,1
2017,02062,3
2014,10163,2
2015,10580,1
2012,11225,19018
2016,1749,1
2021,10550,1
2022,11219,14869
2013,10069,421
2011,06880,1
2013,10468,23520
2012,11207,25007
2014,20188,3
2010,61702,5
2020,11435,15943
2017,10501,1
2013,11763,3
2016,10033,20417
2010,10007,2796
2010,10468,25751
2010,999999,2
2012,11598,4
2010,07054,2
2020,11105,15215
2013,28226,1
2014,11757,1
2017,11430,864
2018,11951,1
2014,11362,3990
2015,10121,2
2019,11703,1
2021,11366,20880
2015,9268-0772,1
2011,11753,4
2016,1182-9060,1
2015,44333,1
2018,000000,4
2019,00795,1
2012,10710,2
2014,11747,9
2014,07203,1
2011,11729,2
2010,08650-4909,1
2011,11243,12
2012,10044,196
2020,11230,24712
2014,10701,8
2011,11096,1
2010,08086-0129,2
2022,10107,23
2013,11372,10193
2010,43218-304,1
2011,14221,3
2017,10308,7288
2018,07028,2
2017,07094,5
2022,10009,19516
2010,1901,1
2012,77072,1
2022,14903,1
2014,10011,13055
2012,77077,2
2014,10018,4563
2019,11367,7947
2016,90630,1
2015,10512,2
2015,10030,10358
2012,32857,1
2013,13057,1
2011,11697,130
2012,12212-5019,1
2019,48090,1
2011,29601,3
2015,10065,6605
2019,10451,14731
2013,11367-0874,1
2015,77272,1
2011,91303,1
2014,10122,3
2012,11415,4200
2019,10470,5950
2010,11414,5708
2016,07073,6
2014,10016,12247
2010,92123,7
2019,10310,8861
2016,49093,1
2013,60201,3
2014,07675,2
2018,07604,1
2015,20705,3
2017,11590,4
2010,48090-2036,2
2017,07093,4
2014,11379,7566
2016,10128,9609
2019,60005,2
2018,10472,21871
2017,10029,17401
2012,12601,1
2018,10011,16830
2017,11101,15970
2017,60173,3
2010,11731,2
2014,10121,1
2015,49690,1
2015,0000000,2
2012,59901-3413,2
2015,23225,1
2010,34604,2
2011,84602-0147,1
2016,10176,5
2012,94585,1
2011,32779,2
2011,75403-5202,1
2012,11372,10807
2011,33442,1
2011,14231,2
2010,11793,2
2022,11239,6509
2013,11234,15834
2018,11757,3
2013,11241,14
2013,14206-2317,1
2010,11417,7639
2019,11426,4703
2016,11207,29234
2010,30062,4
2016,10173,3
2020,11224,8044
2012,32255-1268,1
2010,30068,1
2018,10110,18
2017,11725,1
2016,10456,26900
2018,10603,2
2010,14051,1
2022,11762,1
2017,10703,2
2011,07094,3
2010,11236,15996
2013,07054,2
2017,11361,8293
2017,11050,5
2021,11367,9213
2013,55164-0886,1
2022,10151,27
2022,10033,22292
2015,11373,16476
2017,30006,1
2012,NEWARK,1
2013,11596,1
2016,11363,2224
2010,10008,2
2016,07020,4
2010,18519-1641,2
2018,07078,4
2019,N/A,35
2010,10048,40
2011,10027,14503
2017,10003,18057
2011,07751,1
2016,--------,1
2016,07701,1
2018,10037,6306
2014,11417,7663
2011,85062,1
2015,11101-6122,1
2012,10121,15
2016,34653,1
2011,11364,5603
2012,MN55439,1
2014,18519,1
2017,15129,1
2014,29659,1
2014,75403,1
2011,92193,1
2018,08840,1
2021,10475,4742
2018,11369,9080
2010,30348-5028,1
2019,30092,1
2014,23502,4
2014,43054,1
2015,NEW JERSEY,1
2015,11422,6269
2010,10465,8297
2016,10462,21215
2018,08876,1
2020,11691,15184
2013,14692-2878,1
2011,77274-2209,2
2014,10303,6223
2018,75265-0543,1
2011,11357,8147
2011,11436,4750
2018,10002,20837
2017,14225,1
2010,11003,14
2011,75244,1
2011,94566-9054,1
2013,10301,9271
2021,10452,38741
2010,07114,29
2012,11558,2
2020,11378,16580
2018,VARIES,1
2017,100701,1
2012,11561,7
2018,11507,1
2010,66067,1
2018,11001,1418
2017,11213,24582
2014,11559,3
2013,10107,23
2011,60068,1
2016,07624,1
2018,75019,1
2014,07652,2
2014,11550,8
2021,10464,2538
2014,10004,1842
2015,77388,1
2022,10977,1
2014,12345,2
2019,10001,11785
2016,35244,1
2019,10018,5885
2015,11370,5543
2018,11375,16338
2013,11140,1
2017,77272,2
2010,94551,2
2018,11354,12924
2016,07722,1
2013,11364,4983
2013,10707,2
2010,10118,3
2014,07801,1
2016,33417,1
2018,11361,10759
2014,33319,1
2017,19456,1
2012,10594-0209,1
2017,10536,1
2010,10610,1
2010,19886,1
2018,11549,1
2012,11355,10546
2015,11435,12024
2017,10468,28701
2010,10603,1
2015,30348-5658,1
2014,10472,18010
2017,08003,3
2018,07070,1
2010,11364,6131
2010,11436,5124
2020,10003,18272
2015,11040,576
2012,11725,11
2011,44139-3442,1
2010,56806,1
2013,75019,1
2010,77072-1624,1
2012,10305,8016
2010,18002,2
2018,32896,1
2011,DON'T KNOW,1
2015,10412,1
2011,NY,1
2012,11201,10936
2012,07035,1
2020,11208,33823
2019,11228,14005
2010,19154,3
2013,19007,1
2022,11363,1842
2021,10011,25403
2014,22172,1
2010,38184,2
2015,10003,16832
2012,33161,1
2011,11027,1
2011,60018-3307,1
2010,80201-4309,1
2013,07601,1
2018,11530,5
2016,07208,1
2018,10017,5645
2020,10153,36
2018,11219,19561
2017,10984,1
2013,10009,12255
2021,10454,13387
2017,10173,29
2016,11426,4016
2012,10594,1
2016,32256,3
2017,11205,14090
2015,10523,2
2019,07631,3
2010,1130,1
2010,77072,6
2017,NEWARK,2
2017,10580,4
2016,43218-2273,1
2015,10162,46
2020,11209,25850
2020,10006,1174
2015,07109,1
2014,91710,1
2015,11355,14332
2011,11576,1
2015,11776,2
2011,63146,1
2012,10591,1
2012,37214,1
2021,11224,9657
2013,38184,1
2012,11776,7
2015,15262-2001,1
2013,10604,1
2022,11434,15260
2015,10281,149
2014,11735,11
2013,10001,7441
2014,10129,62
2018,11554,2
2013,11368,13383
2017,19714-7526,1
2010,11023,2
2012,77263,1
2022,11356,10278
2010,171052461,1
2021,10005,1670
2011,06902,1
2018,11419,17914
2022,10154,14
2017,11565,1
2010,43231,6
2010,10456,23517
2013,11719,1
2010,10977,1
2020,11212,23590
2011,11216,22039
2015,071114,1
2017,0000,1
2016,10310,6758
2018,53566-8019,1
2013,57117,1
2014,10000,121
2012,10468,20891
2012,32746,1
2016,30353-0949,1
2021,10004,1891
2012,55344,2
2015,44720,1
2016,10154,21
2011,89434,4
2019,10606,1
2010,14614,1
2011,14305,1
2015,UNKNOWN,5
2012,11729,2
2022,11377,20463
2011,12550,1
2012,10026,8103
2013,10987,1
2011,10005,1540
2019,32896,1
2012,11111,5
2016,10468,27818
2017,89117,1
2011,XXXXX,1
2014,08003,2
2019,11360,3468
2017,07087,2
2013,07657,1
2016,NA,24
2012,92881,1
2015,11779,1
2011,11725-9030,1
2014,10128,8712
2012,37927,1
2010,78217-1274,1
2016,11358,8696
2013,10018,4288
2021,10473,18475
2012,14228,3
2014,20201,1
2019,11742,1
2016,10466,19666
2013,12865,1
2012,10065,4655
2018,10001,11860
2011,10150,2
2021,11385,46602
2017,10138,1
2022,11230,22092
2013,11030,5
2019,10000,380
2010,33771-5351,2
2021,11356,13695
2012,91309-8012,1
2015,19702,2
2010,94524,1
2012,972286995,1
2014,77081,1
2020,10005,2357
2022,10105,134
2015,11733,1
2013,11321,1
2016,75034,1
2011,11050,3
2014,91752,1
2019,07106,1
2012,10002,12765
2014,10455,10243
2011,11575,1
2019,11238,24480
2015,10105,1
2022,11763,1
2010,43236,7
2018,78704,1
2014,11209,16640
2012,11552,2
2012,14120,3
2018,60179,2
2013,08859,2
2012,11106,7096
2016,91367,1
2021,10119,94
2010,11729,4
