NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price
13092,2705,41.3,2469,63854.0,58,223,701.0
13101,2263,40.6,2145,60889.0,7,201,632.0
13102,28,80.5,28,,0,0,
13103,367,41.4,356,,0,43,
13104,15773,43.2,13459,97569.0,325,3306,854.0
13108,6125,45.3,5858,72537.0,49,1088,751.0
13110,2290,49.8,2189,70417.0,0,297,705.0
13111,1543,48.7,1521,49306.0,7,76,642.0
13112,2003,44.9,1997,52727.0,0,115,
13113,297,33.5,278,68750.0,0,27,768.0
13114,6815,37.4,6526,57500.0,26,444,649.0
13115,119,40.5,116,51125.0,0,27,
13116,3521,35.0,3282,57798.0,21,425,788.0
13117,274,42.3,272,50833.0,0,5,905.0
13118,6156,41.8,5483,55951.0,16,374,638.0
13120,2167,40.4,1365,57132.0,50,192,499.0
13122,1446,33.8,1434,57353.0,14,117,530.0
13123,527,27.6,527,56793.0,0,0,
13124,64,47.5,57,46667.0,0,6,
13126,36566,34.5,33284,47992.0,420,3268,725.0
13131,3830,41.2,3692,55820.0,9,193,774.0
13132,3370,47.9,3149,60329.0,82,315,834.0
13134,199,41.8,184,61406.0,0,14,663.0
13135,6655,41.6,6342,50347.0,24,523,674.0
13136,414,44.3,402,45000.0,0,16,396.0
13140,4536,42.1,4359,54592.0,14,245,763.0
13141,604,35.1,604,50156.0,2,52,876.0
13142,5996,41.5,5823,44833.0,33,355,653.0
13143,2869,43.2,2629,49444.0,0,89,645.0
13144,1904,37.0,1800,41935.0,40,92,735.0
13145,2047,42.1,2028,49015.0,3,120,700.0
13146,2077,46.6,1936,46149.0,3,86,770.0
13147,1328,41.6,1196,60486.0,44,91,844.0
13148,10532,43.2,9804,47987.0,120,1200,764.0
13152,8290,50.7,8026,87367.0,61,1814,795.0
13153,329,51.5,329,59417.0,0,31,675.0
13155,638,45.5,606,46071.0,7,50,586.0
13156,2232,41.6,2194,57332.0,13,186,702.0
13157,602,56.2,579,40563.0,0,64,925.0
13158,1522,47.4,1487,46012.0,7,105,664.0
13159,5255,43.5,5039,72724.0,24,745,831.0
13160,1958,44.6,1685,63063.0,82,168,833.0
13162,441,42.8,441,81205.0,0,25,
13163,417,33.6,414,46250.0,0,32,768.0
13164,2404,38.4,2190,75057.0,118,220,818.0
13165,10881,41.8,10127,51768.0,20,733,694.0
13166,5534,42.8,5316,58065.0,32,552,771.0
13167,3024,42.2,2909,47708.0,18,160,815.0
13202,5840,27.6,1571,14793.0,650,645,671.0
13203,16564,35.4,8763,32984.0,2049,1401,719.0
13204,19503,31.5,10784,29007.0,456,1737,741.0
13205,18377,36.6,6001,29547.0,725,1093,729.0
13206,16142,36.7,11654,37959.0,510,1743,736.0
13207,13153,34.9,6451,48645.0,291,1344,850.0
13208,22553,34.0,11384,34896.0,3712,1664,714.0
13209,13095,43.8,11266,52760.0,361,1422,754.0
13210,27822,21.4,16195,26120.0,2920,2545,786.0
13211,6616,36.9,5374,46368.0,32,381,872.0
13212,20645,42.0,18819,54539.0,242,2498,838.0
13214,9357,33.4,6653,72694.0,496,1264,784.0
13215,15541,44.4,13884,83671.0,195,2906,892.0
13219,14928,45.5,13930,57405.0,380,2017,826.0
13224,8560,40.8,4680,53590.0,225,912,737.0
13301,79,54.6,79,73750.0,0,7,
13302,1726,43.0,1646,44453.0,23,23,740.0
13303,1115,47.0,1093,64531.0,0,100,918.0
13304,1679,48.9,1590,77177.0,77,323,749.0
13305,547,31.2,486,63229.0,14,84,
13308,2697,48.3,2675,43990.0,0,184,812.0
13309,5806,44.4,5568,51851.0,20,357,575.0
13310,573,43.6,573,47566.0,13,25,
13312,421,53.4,411,49063.0,5,38,906.0
13313,511,32.0,477,42500.0,11,25,718.0
13314,484,44.3,484,42443.0,0,34,
13315,1489,43.8,1470,57059.0,4,107,950.0
13316,6490,44.5,6194,44867.0,59,423,634.0
13317,3966,40.7,3722,49107.0,12,240,723.0
13318,1271,41.6,1245,62885.0,5,75,850.0
13319,793,31.4,763,32148.0,13,54,725.0
13320,2163,46.6,2106,56477.0,22,215,913.0
13321,1144,34.8,1119,45536.0,0,123,692.0
13322,797,48.1,770,45625.0,2,103,667.0
13323,11151,43.1,10003,60174.0,330,1574,965.0
13324,2093,47.2,2047,38550.0,0,179,638.0
13325,992,44.8,964,49615.0,0,21,1050.0
13326,5372,52.2,4927,54637.0,84,810,778.0
13327,1926,39.9,1852,45882.0,24,113,568.0
13328,1421,40.2,1401,65250.0,7,252,674.0
13329,4331,37.1,4147,47006.0,20,151,612.0
13331,156,68.0,156,,0,41,
13332,2752,36.1,2641,44516.0,3,247,815.0
13333,46,50.7,46,63250.0,0,0,
13334,1163,47.0,1159,,0,66,
13335,1570,44.2,1484,59479.0,0,141,613.0
13337,658,51.2,580,40938.0,0,67,727.0
13338,1088,55.5,1042,50956.0,3,122,818.0
13339,6307,44.1,6080,42917.0,64,398,663.0
13340,8049,44.6,7678,53730.0,56,737,645.0
13341,149,52.5,149,109792.0,0,39,
13342,213,53.6,213,60833.0,0,6,
13343,1936,41.5,1924,53750.0,0,129,688.0
13345,184,40.2,184,,0,3,1075.0
13346,6304,23.2,5375,68456.0,246,594,841.0
13348,1364,43.4,1321,50189.0,17,174,590.0
13350,9985,45.3,9394,46985.0,97,861,711.0
13352,168,38.7,168,,0,0,
13353,36,58.5,36,32500.0,0,0,
13354,3467,45.4,3382,77946.0,6,413,651.0
13355,884,34.1,777,49537.0,0,79,788.0
13357,10969,38.7,10247,45855.0,36,948,602.0
13360,354,47.5,354,43250.0,0,65,700.0
13361,880,40.7,846,52969.0,12,68,618.0
13362,197,38.3,197,55192.0,0,11,
13363,2080,47.3,2005,58274.0,0,259,1272.0
13364,94,54.2,94,32333.0,0,5,
13365,8715,42.1,8273,46849.0,94,754,607.0
13367,8609,42.0,8156,55955.0,189,587,665.0
13368,1259,44.5,1201,47308.0,0,64,654.0
13402,1676,53.3,1642,47712.0,4,106,
13403,7330,42.3,5174,75260.0,237,880,792.0
13404,183,47.0,177,37083.0,0,8,
13406,730,43.6,709,49297.0,9,62,783.0
13407,5155,45.1,4941,47664.0,30,491,566.0
13408,4096,22.5,3256,53417.0,107,155,706.0
13409,2447,42.1,2279,50938.0,4,106,729.0
13410,209,50.5,207,56250.0,2,9,489.0
13411,3353,48.9,3291,44286.0,9,191,541.0
13413,16370,47.2,14867,67509.0,309,2807,854.0
13415,88,29.9,73,42188.0,0,10,
13416,2320,41.2,2220,56083.0,5,163,574.0
13417,3341,41.8,3208,35703.0,0,340,755.0
13418,339,40.9,334,54643.0,0,9,
13420,1213,56.0,1131,52025.0,57,218,624.0
13421,13602,41.3,12571,48689.0,197,1143,678.0
13424,2421,43.7,2130,55145.0,7,226,738.0
13425,2306,38.3,2221,50000.0,45,223,630.0
13428,1889,36.6,1792,46333.0,15,85,445.0
13431,1874,41.9,1712,55529.0,16,185,839.0
13433,2003,39.0,1955,46541.0,2,92,695.0
13435,270,34.8,267,55750.0,1,16,513.0
13436,95,64.3,95,48750.0,0,8,
13437,437,45.2,429,49107.0,0,30,492.0
13438,3598,48.8,3464,50489.0,44,364,765.0
13439,3612,47.6,3445,47755.0,17,249,738.0
