NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
06390,183,58.9,175,,4,36,
10001,22924,36.7,12182,88526.0,3527,6810,2065.0
10002,74993,43.6,16472,35859.0,12407,12928,963.0
10003,54682,32.3,38521,112131.0,6790,16227,2298.0
10004,3028,37.1,1834,157645.0,563,1210,3235.0
10005,8831,30.1,6132,173333.0,1236,3191,3226.0
10006,3454,31.8,2183,176250.0,543,1368,3229.0
10007,7023,36.0,5056,246813.0,950,2269,3394.0
10009,57925,37.1,29677,61548.0,6214,17032,1642.0
10010,33730,34.7,21570,117923.0,3570,9368,2590.0
10011,50472,40.6,36075,128613.0,6407,17417,2115.0
10012,23411,33.9,16332,109037.0,3547,8203,2280.0
10013,28709,38.0,15042,105442.0,4468,7800,1571.0
10014,30738,38.3,25787,126601.0,3089,12014,2313.0
10016,51057,33.5,33836,117004.0,6708,17917,2550.0
10017,15801,39.7,10825,127506.0,2430,6249,2309.0
10018,9687,32.8,4611,108914.0,2539,2885,3163.0
10019,43703,39.5,24786,98833.0,7154,13819,2139.0
10021,46215,41.0,36643,118289.0,4802,14573,2149.0
10022,31125,47.5,24521,135363.0,2471,10674,2514.0
10023,62435,43.3,45242,130452.0,7298,16377,2321.0
10024,59001,43.1,45305,131668.0,5451,16643,2174.0
10025,92805,41.3,50675,85930.0,11833,20072,1531.0
10026,39363,35.1,7744,58884.0,4485,6661,1163.0
10027,64548,31.0,16194,46113.0,9913,9479,1193.0
10028,47793,38.9,38688,125140.0,5096,16512,2329.0
10029,79597,35.1,12310,34016.0,9556,10072,923.0
10030,29882,36.1,3217,37232.0,3579,4026,988.0
10031,60254,34.2,10485,49891.0,12023,8937,1365.0
10032,64264,34.7,9038,50391.0,15477,9297,1219.0
10033,59607,35.8,14090,58614.0,13236,9416,1412.0
10034,42910,36.4,8628,54716.0,9373,6004,1330.0
10035,35743,36.3,3638,30081.0,5580,4343,866.0
10036,27428,36.7,14100,91936.0,6085,9257,2151.0
10037,21139,35.3,1247,45041.0,2128,3089,1153.0
10038,22800,36.2,10249,86058.0,3271,6032,2396.0
10039,27726,33.7,1872,39653.0,3365,3212,931.0
10040,44571,37.4,9352,47137.0,10100,6489,1362.0
10044,11682,42.2,4448,100441.0,4400,2353,2520.0
10065,28109,39.8,22684,127375.0,3306,8643,2472.0
10069,5085,36.0,3123,110625.0,1207,1383,3123.0
10075,21556,45.0,16362,137146.0,2372,6571,2280.0
10128,59256,39.5,42129,114010.0,6535,17976,2198.0
10162,1584,38.7,1457,188880.0,98,462,3011.0
10199,148,23.6,70,,78,23,
10279,43,,43,,0,0,
10280,9384,38.1,6612,169844.0,1539,3151,3332.0
10282,5593,35.3,3745,,950,1728,
10301,38733,38.2,16456,55802.0,3587,5154,1291.0
10302,18204,34.9,5681,64103.0,2699,2078,1325.0
10303,25947,33.1,4581,62558.0,3315,2831,1009.0
10304,41064,38.1,15539,52199.0,4631,5036,1034.0
10305,42298,39.5,26370,76489.0,4604,6331,1292.0
10306,53142,43.9,39656,79569.0,3366,6690,1361.0
10307,15232,39.7,13293,80893.0,479,2359,1198.0
10308,30186,42.9,25268,93963.0,1892,4744,1664.0
10309,33531,40.5,28515,103175.0,1118,5129,1389.0
10310,23262,38.8,9676,72093.0,2597,2995,1237.0
10312,61741,41.6,50629,95064.0,1710,8861,1238.0
10314,90761,40.8,56696,86742.0,6457,12570,1401.0
10451,47798,34.1,1264,28921.0,7433,4070,1042.0
10452,76078,31.6,1446,28277.0,19078,5097,1139.0
