NAME,median_age,white_non-hispanic,household_income,family_income,nonfamily_households_income,married-couple_families_income,foreign_born_not_a_us_citizen,bachelors,graduate,gross_rent_media_price
ZCTA5 10468,,,,,,,20072.0,5130.0,2334.0,
ZCTA5 10469,,,,,,,10039.0,7130.0,4062.0,
ZCTA5 10470,,,,,,,2165.0,1791.0,1025.0,
ZCTA5 10471,,,,,,,1829.0,3818.0,4682.0,
ZCTA5 10472,,,,,,,16390.0,3329.0,1069.0,
ZCTA5 10473,,,,,,,4908.0,4314.0,1874.0,
ZCTA5 10474,,,,,,,2383.0,438.0,144.0,
ZCTA5 10475,,,,,,,2575.0,4602.0,2728.0,
ZCTA5 10501,,,,,,,7.0,199.0,235.0,
ZCTA5 10502,,,,,,,305.0,972.0,1452.0,
ZCTA5 10503,,,,,,,0.0,11.0,127.0,
ZCTA5 10504,,,,,,,246.0,1595.0,1797.0,
ZCTA5 10505,,,,,,,48.0,92.0,88.0,
ZCTA5 10506,,,,,,,146.0,1315.0,1088.0,
ZCTA5 10507,,,,,,,736.0,867.0,805.0,
ZCTA5 10509,,,,,,,1510.0,2974.0,2235.0,
ZCTA5 10510,,,,,,,303.0,1877.0,3018.0,
ZCTA5 10511,,,,,,,301.0,368.0,170.0,
ZCTA5 10512,,,,,,,737.0,3558.0,2673.0,
ZCTA5 10514,,,,,,,776.0,2587.0,3705.0,
ZCTA5 10516,,,,,,,201.0,953.0,816.0,
ZCTA5 10517,,,,,,,74.0,55.0,12.0,
ZCTA5 10518,,,,,,,35.0,287.0,409.0,
ZCTA5 10519,,,,,,,0.0,24.0,39.0,
ZCTA5 10520,,,,,,,1228.0,2535.0,2640.0,
ZCTA5 10522,,,,,,,458.0,1779.0,2135.0,
ZCTA5 10523,,,,,,,1240.0,1236.0,636.0,
ZCTA5 10524,,,,,,,215.0,815.0,847.0,
ZCTA5 10526,,,,,,,43.0,459.0,547.0,
ZCTA5 10527,,,,,,,1.0,242.0,309.0,
ZCTA5 10528,,,,,,,2067.0,2641.0,2215.0,
ZCTA5 10530,,,,,,,944.0,3136.0,3075.0,
ZCTA5 10532,,,,,,,247.0,692.0,569.0,
ZCTA5 10533,,,,,,,483.0,1373.0,1573.0,
ZCTA5 10535,,,,,,,0.0,151.0,40.0,
ZCTA5 10536,,,,,,,631.0,2195.0,2184.0,
ZCTA5 10537,,,,,,,107.0,321.0,177.0,
ZCTA5 10538,,,,,,,1392.0,3885.0,4641.0,
ZCTA5 10541,,,,,,,989.0,3801.0,2958.0,
ZCTA5 10543,,,,,,,2865.0,3016.0,3886.0,
ZCTA5 10545,,,,,,,11.0,7.0,42.0,
ZCTA5 10546,,,,,,,51.0,177.0,343.0,
ZCTA5 10547,,,,,,,478.0,1003.0,819.0,
ZCTA5 10548,,,,,,,231.0,517.0,501.0,
ZCTA5 10549,,,,,,,2637.0,2968.0,2572.0,
ZCTA5 10550,,,,,,,8180.0,1896.0,1264.0,
ZCTA5 10552,,,,,,,2080.0,3264.0,3156.0,
ZCTA5 10553,,,,,,,1323.0,712.0,597.0,
ZCTA5 10560,,,,,,,108.0,1028.0,700.0,
ZCTA5 10562,,,,,,,6425.0,4965.0,3931.0,
ZCTA5 10566,,,,,,,4897.0,2504.0,1880.0,
ZCTA5 10567,,,,,,,703.0,2776.0,2722.0,
ZCTA5 10570,,,,,,,824.0,2578.0,2427.0,
ZCTA5 10573,,,,,,,10265.0,4259.0,3674.0,
ZCTA5 10576,,,,,,,147.0,1082.0,1650.0,
ZCTA5 10577,,,,,,,298.0,488.0,613.0,
ZCTA5 10578,,,,,,,2.0,84.0,107.0,
ZCTA5 10579,,,,,,,270.0,1333.0,1077.0,
ZCTA5 10580,,,,,,,1764.0,4264.0,3615.0,
ZCTA5 10583,,,,,,,3505.0,7486.0,11473.0,
ZCTA5 10588,,,,,,,116.0,394.0,236.0,
ZCTA5 10589,,,,,,,159.0,1715.0,1697.0,
ZCTA5 10590,,,,,,,255.0,1577.0,1196.0,
ZCTA5 10591,,,,,,,4556.0,4097.0,3742.0,
ZCTA5 10594,,,,,,,428.0,779.0,442.0,
ZCTA5 10595,,,,,,,619.0,1107.0,1053.0,
ZCTA5 10596,,,,,,,49.0,49.0,67.0,
ZCTA5 10597,,,,,,,86.0,226.0,263.0,
ZCTA5 10598,,,,,,,1151.0,4687.0,4340.0,
ZCTA5 10601,,,,,,,2112.0,2034.0,1950.0,
ZCTA5 10603,,,,,,,2408.0,3094.0,2673.0,
ZCTA5 10604,,,,,,,2295.0,1729.0,1104.0,
ZCTA5 10605,,,,,,,1804.0,3444.0,4240.0,
ZCTA5 10606,,,,,,,4362.0,1776.0,2166.0,
ZCTA5 10607,,,,,,,740.0,1270.0,1235.0,
ZCTA5 10701,,,,,,,12859.0,5233.0,3340.0,
ZCTA5 10703,,,,,,,2886.0,2112.0,1474.0,
ZCTA5 10704,,,,,,,2847.0,3768.0,2192.0,
ZCTA5 10705,,,,,,,8314.0,3373.0,2005.0,
ZCTA5 10706,,,,,,,364.0,1509.0,2470.0,
ZCTA5 10707,,,,,,,910.0,1936.0,1682.0,
ZCTA5 10708,,,,,,,1124.0,4730.0,4911.0,
ZCTA5 10709,,,,,,,554.0,2024.0,1383.0,
ZCTA5 10710,,,,,,,2616.0,3954.0,3580.0,
ZCTA5 10801,,,,,,,7902.0,3783.0,3272.0,
ZCTA5 10803,,,,,,,553.0,2541.0,2605.0,
ZCTA5 10804,,,,,,,796.0,3024.0,4299.0,
ZCTA5 10805,,,,,,,2998.0,2316.0,1589.0,
ZCTA5 10901,,,,,,,1650.0,4332.0,3661.0,
ZCTA5 10910,,,,,,,0.0,0.0,0.0,
ZCTA5 10911,,,,,,,0.0,0.0,0.0,
ZCTA5 10913,,,,,,,225.0,627.0,829.0,
ZCTA5 10914,,,,,,,0.0,64.0,0.0,
ZCTA5 10915,,,,,,,0.0,37.0,0.0,
ZCTA5 10916,,,,,,,12.0,527.0,403.0,
ZCTA5 10917,,,,,,,302.0,202.0,267.0,
ZCTA5 10918,,,,,,,529.0,1622.0,1102.0,
ZCTA5 10919,,,,,,,9.0,142.0,74.0,
ZCTA5 10920,,,,,,,426.0,1658.0,875.0,
ZCTA5 10921,,,,,,,319.0,460.0,341.0,
ZCTA5 10922,,,,,,,46.0,144.0,71.0,
ZCTA5 10923,,,,,,,1036.0,1126.0,510.0,
ZCTA5 10924,,,,,,,526.0,1736.0,1295.0,
ZCTA5 10925,,,,,,,204.0,602.0,200.0,
ZCTA5 10926,,,,,,,249.0,381.0,423.0,
ZCTA5 10927,,,,,,,3144.0,966.0,469.0,
ZCTA5 10928,,,,,,,169.0,374.0,433.0,
ZCTA5 10930,,,,,,,232.0,1670.0,1276.0,
ZCTA5 10931,,,,,,,67.0,76.0,39.0,
ZCTA5 10932,,,,,,,0.0,0.0,0.0,
ZCTA5 10933,,,,,,,0.0,37.0,0.0,
ZCTA5 10940,,,,,,,5106.0,4474.0,2471.0,
ZCTA5 10941,,,,,,,623.0,1445.0,801.0,
ZCTA5 10950,,,,,,,1487.0,4588.0,2758.0,
ZCTA5 10952,,,,,,,2700.0,3206.0,2823.0,
ZCTA5 10953,,,,,,,0.0,11.0,11.0,
ZCTA5 10954,,,,,,,1876.0,4141.0,3021.0,
