NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
ZCTA5 10537,,,,0.0,321.0,
ZCTA5 10538,,,,226.0,3885.0,
ZCTA5 10541,,,,340.0,3801.0,
ZCTA5 10543,,,,280.0,3016.0,
ZCTA5 10545,,,,0.0,7.0,
ZCTA5 10546,,,,4.0,177.0,
ZCTA5 10547,,,,103.0,1003.0,
ZCTA5 10548,,,,92.0,517.0,
ZCTA5 10549,,,,130.0,2968.0,
ZCTA5 10550,,,,494.0,1896.0,
ZCTA5 10552,,,,431.0,3264.0,
ZCTA5 10553,,,,89.0,712.0,
ZCTA5 10560,,,,93.0,1028.0,
ZCTA5 10562,,,,918.0,4965.0,
ZCTA5 10566,,,,541.0,2504.0,
ZCTA5 10567,,,,351.0,2776.0,
ZCTA5 10570,,,,116.0,2578.0,
ZCTA5 10573,,,,874.0,4259.0,
ZCTA5 10576,,,,54.0,1082.0,
ZCTA5 10577,,,,67.0,488.0,
ZCTA5 10578,,,,3.0,84.0,
ZCTA5 10579,,,,72.0,1333.0,
ZCTA5 10580,,,,206.0,4264.0,
ZCTA5 10583,,,,408.0,7486.0,
ZCTA5 10588,,,,0.0,394.0,
ZCTA5 10589,,,,85.0,1715.0,
ZCTA5 10590,,,,78.0,1577.0,
ZCTA5 10591,,,,458.0,4097.0,
ZCTA5 10594,,,,107.0,779.0,
ZCTA5 10595,,,,132.0,1107.0,
ZCTA5 10596,,,,20.0,49.0,
ZCTA5 10597,,,,29.0,226.0,
ZCTA5 10598,,,,452.0,4687.0,
ZCTA5 10601,,,,279.0,2034.0,
ZCTA5 10603,,,,468.0,3094.0,
ZCTA5 10604,,,,195.0,1729.0,
ZCTA5 10605,,,,185.0,3444.0,
ZCTA5 10606,,,,90.0,1776.0,
ZCTA5 10607,,,,162.0,1270.0,
ZCTA5 10701,,,,2370.0,5233.0,
ZCTA5 10703,,,,705.0,2112.0,
ZCTA5 10704,,,,841.0,3768.0,
ZCTA5 10705,,,,1947.0,3373.0,
ZCTA5 10706,,,,157.0,1509.0,
ZCTA5 10707,,,,117.0,1936.0,
ZCTA5 10708,,,,651.0,4730.0,
ZCTA5 10709,,,,124.0,2024.0,
ZCTA5 10710,,,,674.0,3954.0,
ZCTA5 10801,,,,460.0,3783.0,
ZCTA5 10803,,,,213.0,2541.0,
ZCTA5 10804,,,,127.0,3024.0,
ZCTA5 10805,,,,432.0,2316.0,
ZCTA5 10901,,,,335.0,4332.0,
ZCTA5 10910,,,,0.0,0.0,
ZCTA5 10911,,,,0.0,0.0,
ZCTA5 10913,,,,118.0,627.0,
ZCTA5 10914,,,,0.0,64.0,
ZCTA5 10915,,,,0.0,37.0,
ZCTA5 10916,,,,10.0,527.0,
ZCTA5 10917,,,,26.0,202.0,
ZCTA5 10918,,,,74.0,1622.0,
ZCTA5 10919,,,,8.0,142.0,
ZCTA5 10920,,,,36.0,1658.0,
ZCTA5 10921,,,,76.0,460.0,
ZCTA5 10922,,,,6.0,144.0,
ZCTA5 10923,,,,456.0,1126.0,
ZCTA5 10924,,,,279.0,1736.0,
ZCTA5 10925,,,,34.0,602.0,
ZCTA5 10926,,,,42.0,381.0,
ZCTA5 10927,,,,550.0,966.0,
ZCTA5 10928,,,,142.0,374.0,
ZCTA5 10930,,,,124.0,1670.0,
ZCTA5 10931,,,,0.0,76.0,
ZCTA5 10932,,,,0.0,0.0,
ZCTA5 10933,,,,0.0,37.0,
ZCTA5 10940,,,,1887.0,4474.0,
ZCTA5 10941,,,,344.0,1445.0,
ZCTA5 10950,,,,742.0,4588.0,
ZCTA5 10952,,,,1156.0,3206.0,
ZCTA5 10953,,,,11.0,11.0,
ZCTA5 10954,,,,299.0,4141.0,
ZCTA5 10956,,,,487.0,5950.0,
ZCTA5 10958,,,,23.0,331.0,
ZCTA5 10960,,,,312.0,2430.0,
ZCTA5 10962,,,,114.0,1045.0,
ZCTA5 10963,,,,115.0,288.0,
ZCTA5 10964,,,,20.0,249.0,
ZCTA5 10965,,,,16.0,2389.0,
ZCTA5 10968,,,,20.0,564.0,
ZCTA5 10969,,,,0.0,227.0,
ZCTA5 10970,,,,224.0,1615.0,
ZCTA5 10973,,,,0.0,249.0,
ZCTA5 10974,,,,28.0,498.0,
ZCTA5 10975,,,,0.0,63.0,
ZCTA5 10976,,,,173.0,408.0,
ZCTA5 10977,,,,1001.0,5563.0,
ZCTA5 10979,,,,0.0,30.0,
ZCTA5 10980,,,,249.0,2088.0,
ZCTA5 10983,,,,44.0,1188.0,
ZCTA5 10984,,,,76.0,531.0,
ZCTA5 10985,,,,0.0,0.0,
ZCTA5 10986,,,,20.0,281.0,
ZCTA5 10987,,,,11.0,728.0,
ZCTA5 10988,,,,7.0,61.0,
ZCTA5 10989,,,,210.0,2092.0,
ZCTA5 10990,,,,243.0,3410.0,
ZCTA5 10992,,,,302.0,894.0,
ZCTA5 10993,,,,287.0,281.0,
ZCTA5 10994,,,,189.0,1038.0,
ZCTA5 10996,,,,354.0,281.0,
ZCTA5 10998,,,,59.0,392.0,
ZCTA5 11001,,,,267.0,4261.0,
ZCTA5 11003,,,,703.0,5465.0,
ZCTA5 11004,,,,119.0,2869.0,
ZCTA5 11005,,,,58.0,479.0,
ZCTA5 11010,,,,316.0,3140.0,
ZCTA5 11020,,,,53.0,998.0,
ZCTA5 11021,,,,146.0,4137.0,
ZCTA5 11023,,,,128.0,1599.0,
ZCTA5 11024,,,,71.0,1294.0,
ZCTA5 11030,,,,221.0,4176.0,
ZCTA5 11040,,,,413.0,6840.0,
ZCTA5 11042,,,,42.0,60.0,
ZCTA5 11050,,,,287.0,6155.0,
ZCTA5 11096,,,,86.0,530.0,
ZCTA5 11101,,,,455.0,3756.0,
ZCTA5 11102,,,,921.0,6396.0,
ZCTA5 11103,,,,815.0,8105.0,
ZCTA5 11104,,,,602.0,5060.0,
ZCTA5 11105,,,,864.0,7946.0,
ZCTA5 11106,,,,1300.0,6288.0,
ZCTA5 11109,,,,46.0,979.0,
ZCTA5 11201,,,,1740.0,12672.0,
ZCTA5 11203,,,,1089.0,7366.0,
ZCTA5 11204,,,,1439.0,7038.0,
ZCTA5 11205,,,,1579.0,4855.0,
ZCTA5 11206,,,,7023.0,5935.0,
ZCTA5 11207,,,,4664.0,4354.0,
ZCTA5 11208,,,,4606.0,4518.0,
ZCTA5 11209,,,,1644.0,12991.0,
ZCTA5 11210,,,,860.0,7426.0,
ZCTA5 11211,,,,5714.0,14067.0,
ZCTA5 11212,,,,2273.0,3759.0,
ZCTA5 11213,,,,1346.0,4997.0,
ZCTA5 11214,,,,1373.0,7679.0,
ZCTA5 11215,,,,2643.0,16737.0,
ZCTA5 11216,,,,1246.0,6918.0,
ZCTA5 11217,,,,2085.0,9344.0,
ZCTA5 11218,,,,2086.0,10429.0,
ZCTA5 11219,,,,1849.0,6390.0,
ZCTA5 11220,,,,5779.0,8136.0,
ZCTA5 11221,,,,5691.0,5617.0,
ZCTA5 11222,,,,828.0,7732.0,
ZCTA5 11223,,,,1282.0,7279.0,
ZCTA5 11224,,,,1882.0,5958.0,
ZCTA5 11225,,,,1364.0,6660.0,
ZCTA5 11226,,,,1876.0,8287.0,
ZCTA5 11228,,,,782.0,4614.0,
ZCTA5 11229,,,,1343.0,11855.0,
ZCTA5 11230,,,,1689.0,12309.0,
ZCTA5 11231,,,,1922.0,8478.0,
ZCTA5 11232,,,,1908.0,2585.0,
ZCTA5 11233,,,,1975.0,5194.0,
ZCTA5 11234,,,,1260.0,11721.0,
ZCTA5 11235,,,,986.0,15955.0,
ZCTA5 11236,,,,1712.0,10034.0,
ZCTA5 11237,,,,4225.0,3137.0,
ZCTA5 11238,,,,1279.0,11318.0,
ZCTA5 11239,,,,472.0,1153.0,
ZCTA5 11351,,,,0.0,0.0,
ZCTA5 11354,,,,837.0,8742.0,
ZCTA5 11355,,,,1218.0,11913.0,
ZCTA5 11356,,,,504.0,2979.0,
ZCTA5 11357,,,,603.0,6192.0,
ZCTA5 11358,,,,547.0,6410.0,
ZCTA5 11359,,,,0.0,0.0,
ZCTA5 11360,,,,270.0,4699.0,
ZCTA5 11361,,,,400.0,5148.0,
ZCTA5 11362,,,,246.0,4062.0,
ZCTA5 11363,,,,104.0,1854.0,
ZCTA5 11364,,,,494.0,6347.0,
ZCTA5 11365,,,,856.0,7025.0,
ZCTA5 11366,,,,334.0,2887.0,
ZCTA5 11367,,,,1037.0,6647.0,
ZCTA5 11368,,,,1706.0,6230.0,
ZCTA5 11369,,,,828.0,3176.0,
ZCTA5 11370,,,,1423.0,3214.0,
ZCTA5 11371,,,,0.0,0.0,
ZCTA5 11372,,,,1498.0,8775.0,
ZCTA5 11373,,,,1419.0,12663.0,
ZCTA5 11374,,,,774.0,10062.0,
ZCTA5 11375,,,,1787.0,16171.0,
ZCTA5 11377,,,,2158.0,12750.0,
ZCTA5 11378,,,,919.0,3590.0,
ZCTA5 11379,,,,811.0,4279.0,
ZCTA5 11385,,,,4051.0,8387.0,
ZCTA5 11411,,,,309.0,2798.0,
ZCTA5 11412,,,,422.0,3886.0,
ZCTA5 11413,,,,463.0,4336.0,
ZCTA5 11414,,,,1316.0,3200.0,
ZCTA5 11415,,,,622.0,3129.0,
ZCTA5 11416,,,,825.0,1857.0,
ZCTA5 11417,,,,553.0,2407.0,
ZCTA5 11418,,,,1513.0,3912.0,
ZCTA5 11419,,,,1074.0,3983.0,
ZCTA5 11420,,,,1284.0,3971.0,
ZCTA5 11421,,,,1670.0,4088.0,
ZCTA5 11422,,,,399.0,4084.0,
ZCTA5 11423,,,,687.0,3388.0,
ZCTA5 11424,,,,0.0,0.0,
ZCTA5 11425,,,,0.0,0.0,
ZCTA5 11426,,,,364.0,3052.0,
ZCTA5 11427,,,,417.0,4024.0,
ZCTA5 11428,,,,370.0,2767.0,
ZCTA5 11429,,,,417.0,2658.0,
ZCTA5 11430,,,,0.0,0.0,
ZCTA5 11432,,,,919.0,7782.0,
ZCTA5 11433,,,,639.0,2053.0,
ZCTA5 11434,,,,825.0,5299.0,
ZCTA5 11435,,,,1217.0,6680.0,
ZCTA5 11436,,,,181.0,1197.0,
ZCTA5 11451,,,,0.0,0.0,
ZCTA5 11501,,,,292.0,2741.0,
ZCTA5 11507,,,,69.0,1385.0,
ZCTA5 11509,,,,35.0,466.0,
ZCTA5 11510,,,,430.0,5315.0,
ZCTA5 11514,,,,60.0,891.0,
ZCTA5 11516,,,,171.0,1172.0,
ZCTA5 11518,,,,66.0,1330.0,
ZCTA5 11520,,,,967.0,4278.0,
ZCTA5 11530,,,,214.0,5663.0,
ZCTA5 11542,,,,362.0,3910.0,
ZCTA5 11545,,,,132.0,2698.0,
ZCTA5 11547,,,,17.0,189.0,
ZCTA5 11548,,,,34.0,291.0,
ZCTA5 11549,,,,13.0,84.0,
ZCTA5 11550,,,,739.0,3934.0,
ZCTA5 11552,,,,384.0,3181.0,
ZCTA5 11553,,,,438.0,2312.0,
ZCTA5 11554,,,,322.0,4831.0,
ZCTA5 11556,,,,0.0,0.0,
ZCTA5 11557,,,,84.0,1580.0,
ZCTA5 11558,,,,111.0,981.0,
ZCTA5 11559,,,,166.0,1292.0,
ZCTA5 11560,,,,34.0,1580.0,
ZCTA5 11561,,,,546.0,7480.0,
ZCTA5 11563,,,,317.0,3846.0,
ZCTA5 11565,,,,58.0,1649.0,
ZCTA5 11566,,,,313.0,5765.0,
ZCTA5 11568,,,,23.0,635.0,
ZCTA5 11569,,,,0.0,283.0,
ZCTA5 11570,,,,278.0,5425.0,
ZCTA5 11572,,,,172.0,4406.0,
ZCTA5 11575,,,,320.0,1307.0,
ZCTA5 11576,,,,29.0,3009.0,
ZCTA5 11577,,,,93.0,2710.0,
ZCTA5 11579,,,,21.0,1126.0,
ZCTA5 11580,,,,969.0,5924.0,
ZCTA5 11581,,,,142.0,3323.0,
ZCTA5 11590,,,,448.0,5523.0,
ZCTA5 11596,,,,60.0,1724.0,
ZCTA5 11598,,,,74.0,2543.0,
ZCTA5 11691,,,,1660.0,4767.0,
ZCTA5 11692,,,,476.0,1338.0,
ZCTA5 11693,,,,246.0,1199.0,
ZCTA5 11694,,,,214.0,3162.0,
ZCTA5 11697,,,,7.0,885.0,
ZCTA5 11701,,,,286.0,2720.0,
ZCTA5 11702,,,,54.0,2008.0,
ZCTA5 11703,,,,124.0,1669.0,
ZCTA5 11704,,,,615.0,3786.0,
ZCTA5 11705,,,,61.0,964.0,
ZCTA5 11706,,,,2523.0,5982.0,
ZCTA5 11709,,,,26.0,999.0,
ZCTA5 11710,,,,233.0,5046.0,
ZCTA5 11713,,,,398.0,879.0,
ZCTA5 11714,,,,263.0,3359.0,
ZCTA5 11715,,,,32.0,620.0,
ZCTA5 11716,,,,107.0,986.0,
ZCTA5 11717,,,,2396.0,3312.0,
ZCTA5 11718,,,,60.0,567.0,
ZCTA5 11719,,,,76.0,381.0,
ZCTA5 11720,,,,273.0,3141.0,
ZCTA5 11721,,,,51.0,1237.0,
ZCTA5 11722,,,,1413.0,2505.0,
ZCTA5 11724,,,,59.0,665.0,
ZCTA5 11725,,,,177.0,4619.0,
ZCTA5 11726,,,,330.0,1553.0,
ZCTA5 11727,,,,416.0,3453.0,
ZCTA5 11729,,,,487.0,3101.0,
ZCTA5 11730,,,,56.0,1568.0,
ZCTA5 11731,,,,290.0,5175.0,
ZCTA5 11732,,,,30.0,599.0,
ZCTA5 11733,,,,156.0,2616.0,
ZCTA5 11735,,,,369.0,4593.0,
ZCTA5 11738,,,,238.0,1691.0,
ZCTA5 11739,,,,0.0,335.0,
ZCTA5 11740,,,,59.0,1585.0,
ZCTA5 11741,,,,296.0,3376.0,
ZCTA5 11742,,,,130.0,1375.0,
ZCTA5 11743,,,,505.0,8650.0,
ZCTA5 11746,,,,978.0,10012.0,
ZCTA5 11747,,,,242.0,3656.0,
ZCTA5 11749,,,,13.0,451.0,
ZCTA5 11751,,,,290.0,1865.0,
ZCTA5 11752,,,,57.0,913.0,
ZCTA5 11753,,,,60.0,2785.0,
ZCTA5 11754,,,,118.0,2971.0,
ZCTA5 11755,,,,80.0,1716.0,
ZCTA5 11756,,,,392.0,5180.0,
ZCTA5 11757,,,,661.0,4223.0,
ZCTA5 11758,,,,411.0,8099.0,
ZCTA5 11762,,,,156.0,3409.0,
ZCTA5 11763,,,,346.0,2889.0,
ZCTA5 11764,,,,43.0,1708.0,
ZCTA5 11765,,,,5.0,138.0,
ZCTA5 11766,,,,22.0,1734.0,
ZCTA5 11767,,,,50.0,1983.0,
ZCTA5 11768,,,,77.0,4753.0,
ZCTA5 11769,,,,58.0,1199.0,
ZCTA5 11770,,,,5.0,67.0,
ZCTA5 11771,,,,101.0,1984.0,
ZCTA5 11772,,,,702.0,3831.0,
ZCTA5 11776,,,,288.0,2806.0,
ZCTA5 11777,,,,69.0,1284.0,
ZCTA5 11778,,,,198.0,1090.0,
ZCTA5 11779,,,,541.0,3939.0,
ZCTA5 11780,,,,23.0,2473.0,
ZCTA5 11782,,,,91.0,1973.0,
ZCTA5 11783,,,,190.0,3308.0,
ZCTA5 11784,,,,344.0,2284.0,
ZCTA5 11786,,,,24.0,850.0,
ZCTA5 11787,,,,265.0,5509.0,
ZCTA5 11788,,,,407.0,2661.0,
ZCTA5 11789,,,,77.0,1071.0,
ZCTA5 11790,,,,275.0,2645.0,
ZCTA5 11791,,,,118.0,5563.0,
ZCTA5 11792,,,,34.0,1224.0,
ZCTA5 11793,,,,220.0,4962.0,
ZCTA5 11794,,,,67.0,35.0,
ZCTA5 11795,,,,85.0,3532.0,
ZCTA5 11796,,,,0.0,344.0,
ZCTA5 11797,,,,73.0,2092.0,
ZCTA5 11798,,,,204.0,1251.0,
ZCTA5 11801,,,,667.0,5554.0,
ZCTA5 11803,,,,115.0,5309.0,
ZCTA5 11804,,,,9.0,1002.0,
ZCTA5 11901,,,,299.0,2008.0,
ZCTA5 11930,,,,0.0,348.0,
ZCTA5 11931,,,,0.0,46.0,
ZCTA5 11932,,,,21.0,205.0,
ZCTA5 11933,,,,21.0,577.0,
ZCTA5 11934,,,,44.0,805.0,
ZCTA5 11935,,,,18.0,621.0,
ZCTA5 11937,,,,175.0,3001.0,
ZCTA5 11939,,,,0.0,223.0,
ZCTA5 11940,,,,44.0,517.0,
ZCTA5 11941,,,,8.0,257.0,
ZCTA5 11942,,,,49.0,768.0,
ZCTA5 11944,,,,230.0,474.0,
ZCTA5 11946,,,,185.0,2288.0,
ZCTA5 11947,,,,0.0,0.0,
ZCTA5 11948,,,,0.0,159.0,
ZCTA5 11949,,,,35.0,1807.0,
ZCTA5 11950,,,,443.0,628.0,
ZCTA5 11951,,,,107.0,559.0,
ZCTA5 11952,,,,0.0,854.0,
ZCTA5 11953,,,,63.0,1559.0,
ZCTA5 11954,,,,46.0,637.0,
ZCTA5 11955,,,,40.0,281.0,
ZCTA5 11956,,,,0.0,54.0,
ZCTA5 11957,,,,0.0,164.0,
ZCTA5 11958,,,,0.0,167.0,
ZCTA5 11959,,,,19.0,139.0,
ZCTA5 11960,,,,0.0,276.0,
ZCTA5 11961,,,,72.0,1116.0,
ZCTA5 11962,,,,0.0,86.0,
ZCTA5 11963,,,,79.0,1378.0,
ZCTA5 11964,,,,0.0,283.0,
ZCTA5 11965,,,,0.0,271.0,
ZCTA5 11967,,,,445.0,1923.0,
ZCTA5 11968,,,,104.0,1950.0,
ZCTA5 11970,,,,0.0,141.0,
ZCTA5 11971,,,,49.0,1064.0,
ZCTA5 11972,,,,33.0,115.0,
ZCTA5 11973,,,,0.0,0.0,
ZCTA5 11975,,,,0.0,94.0,
ZCTA5 11976,,,,19.0,353.0,
ZCTA5 11977,,,,17.0,544.0,
ZCTA5 11978,,,,25.0,654.0,
ZCTA5 11980,,,,56.0,528.0,
ZCTA5 12007,,,,0.0,0.0,
ZCTA5 12008,,,,0.0,31.0,
ZCTA5 12009,,,,28.0,957.0,
ZCTA5 12010,,,,1242.0,2142.0,
ZCTA5 12015,,,,19.0,311.0,
ZCTA5 12017,,,,10.0,46.0,
ZCTA5 12018,,,,6.0,866.0,
ZCTA5 12019,,,,132.0,2318.0,
ZCTA5 12020,,,,283.0,4269.0,
ZCTA5 12022,,,,2.0,104.0,
ZCTA5 12023,,,,11.0,274.0,
ZCTA5 12024,,,,0.0,0.0,
ZCTA5 12025,,,,14.0,425.0,
ZCTA5 12027,,,,38.0,682.0,
ZCTA5 12028,,,,0.0,141.0,
ZCTA5 12029,,,,8.0,164.0,
ZCTA5 12031,,,,0.0,10.0,
ZCTA5 12032,,,,3.0,51.0,
ZCTA5 12033,,,,46.0,1187.0,
ZCTA5 12035,,,,0.0,66.0,
ZCTA5 12036,,,,0.0,7.0,
ZCTA5 12037,,,,12.0,503.0,
ZCTA5 12040,,,,0.0,5.0,
ZCTA5 12041,,,,0.0,30.0,
ZCTA5 12042,,,,0.0,16.0,
ZCTA5 12043,,,,88.0,662.0,
ZCTA5 12045,,,,23.0,0.0,
ZCTA5 12046,,,,0.0,49.0,
ZCTA5 12047,,,,114.0,1791.0,
ZCTA5 12051,,,,166.0,356.0,
ZCTA5 12052,,,,5.0,147.0,
ZCTA5 12053,,,,3.0,384.0,
ZCTA5 12054,,,,83.0,2947.0,
ZCTA5 12056,,,,35.0,202.0,
ZCTA5 12057,,,,0.0,125.0,
ZCTA5 12058,,,,0.0,111.0,
ZCTA5 12059,,,,0.0,233.0,
ZCTA5 12060,,,,16.0,197.0,
ZCTA5 12061,,,,117.0,1455.0,
ZCTA5 12062,,,,13.0,206.0,
ZCTA5 12063,,,,0.0,69.0,
ZCTA5 12064,,,,0.0,56.0,
ZCTA5 12065,,,,494.0,7458.0,
ZCTA5 12066,,,,3.0,199.0,
ZCTA5 12067,,,,0.0,182.0,
ZCTA5 12068,,,,16.0,236.0,
ZCTA5 12069,,,,0.0,0.0,
ZCTA5 12070,,,,0.0,130.0,
ZCTA5 12071,,,,7.0,10.0,
ZCTA5 12072,,,,22.0,153.0,
ZCTA5 12074,,,,32.0,381.0,
ZCTA5 12075,,,,104.0,418.0,
ZCTA5 12076,,,,14.0,83.0,
ZCTA5 12077,,,,89.0,833.0,
ZCTA5 12078,,,,201.0,1222.0,
ZCTA5 12083,,,,42.0,337.0,
ZCTA5 12084,,,,76.0,1097.0,
ZCTA5 12085,,,,19.0,45.0,
ZCTA5 12086,,,,20.0,194.0,
ZCTA5 12087,,,,0.0,67.0,
ZCTA5 12089,,,,0.0,0.0,
ZCTA5 12090,,,,0.0,597.0,
ZCTA5 12092,,,,0.0,8.0,
ZCTA5 12093,,,,0.0,149.0,
ZCTA5 12094,,,,0.0,86.0,
ZCTA5 12095,,,,136.0,916.0,
ZCTA5 12106,,,,21.0,290.0,
ZCTA5 12108,,,,0.0,5.0,
ZCTA5 12110,,,,613.0,3633.0,
ZCTA5 12115,,,,0.0,37.0,
ZCTA5 12116,,,,26.0,186.0,
ZCTA5 12117,,,,13.0,214.0,
ZCTA5 12118,,,,72.0,1402.0,
ZCTA5 12120,,,,0.0,110.0,
ZCTA5 12121,,,,79.0,152.0,
ZCTA5 12122,,,,12.0,296.0,
ZCTA5 12123,,,,48.0,357.0,
ZCTA5 12124,,,,0.0,114.0,
ZCTA5 12125,,,,2.0,124.0,
ZCTA5 12130,,,,13.0,48.0,
ZCTA5 12131,,,,0.0,4.0,
ZCTA5 12132,,,,0.0,30.0,
ZCTA5 12134,,,,18.0,305.0,
