NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
06390,307,48.3,307,146917.0,0,49,783.0
10001,20579,35.7,11616,76138.0,2840,5415,1771.0
10002,80323,39.9,16951,32265.0,14605,11969,803.0
10003,56614,32.2,40926,91767.0,6282,17110,1836.0
10004,2780,33.8,1968,127281.0,302,911,
10005,5724,28.4,4035,120729.0,1233,1940,
10006,2696,31.5,1767,115787.0,530,848,
10007,6188,34.5,4239,210125.0,1065,1691,
10009,62397,37.0,30798,59034.0,7620,16811,1400.0
10010,29396,35.3,20386,95556.0,3127,9155,
10011,51853,40.3,36997,101515.0,5146,17277,1793.0
10012,24703,33.4,17979,77853.0,3120,8436,1751.0
10013,26090,35.5,12784,68790.0,4421,5613,1236.0
10014,30893,37.3,25896,105144.0,2649,11628,
10016,52624,32.7,38020,101979.0,6729,17724,
10017,16137,35.9,11286,108250.0,2802,5975,
10018,6147,31.6,2682,87813.0,1666,1741,
10019,40351,37.7,25521,80519.0,6490,12461,1875.0
10021,42646,40.8,35628,106236.0,3856,13641,1846.0
10022,29317,45.6,23464,106888.0,3416,10304,
10023,60447,41.2,45451,105311.0,6130,16026,1902.0
10024,58991,41.5,44490,110091.0,5811,15618,1870.0
10025,96449,37.7,55829,68463.0,12024,20280,1390.0
10026,36797,33.1,6795,42058.0,4771,5405,884.0
10027,61018,30.9,14020,35694.0,9139,7205,905.0
10028,45799,39.7,38984,107976.0,3736,14019,1930.0
10029,79031,32.7,11486,31254.0,13102,8046,794.0
10030,29364,34.6,2466,30674.0,3913,3296,779.0
10031,59708,31.8,7598,36495.0,14021,6936,1024.0
10032,61650,34.2,6401,36095.0,17374,6012,992.0
10033,57073,35.6,12497,41352.0,13779,7025,1116.0
10034,41200,36.4,6936,43049.0,12117,5679,1084.0
10035,34709,33.0,3676,26214.0,5549,3173,658.0
10036,22413,38.8,12733,64013.0,4133,6939,1646.0
10037,17099,38.9,1082,39897.0,1178,2374,920.0
10038,20042,33.6,8652,65934.0,3109,4396,1626.0
10039,25372,34.0,1107,35710.0,3635,2615,782.0
10040,43650,36.6,8865,40385.0,11267,5844,1082.0
10044,12311,39.0,5308,75325.0,3818,1800,
10065,32807,39.1,26793,109960.0,3876,10447,1946.0
10069,5359,35.7,3932,186569.0,777,2241,
10075,24148,41.2,19979,100206.0,2251,8391,1825.0
10110,3,30.5,1,,0,0,
10128,59443,38.9,44311,96974.0,6759,18133,1842.0
10162,1590,38.7,1155,165917.0,268,540,
