NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
14065,1825,42.9,1809,40250.0,6,98,552.0
14066,1149,43.8,1143,48787.0,1,62,617.0
14067,5456,41.1,5051,50383.0,63,363,670.0
14068,7131,47.0,5728,68537.0,470,1045,1000.0
14069,738,53.4,736,63152.0,0,102,409.0
14070,6050,41.9,4572,42979.0,149,344,633.0
14072,20580,42.8,18914,77857.0,479,3335,915.0
14075,42837,43.6,40621,62643.0,374,5641,754.0
14080,4467,44.7,4384,60175.0,8,353,532.0
14081,3167,47.3,1735,53889.0,5,256,781.0
14082,322,52.8,322,45625.0,0,38,655.0
14085,7167,41.3,6851,88645.0,31,993,1053.0
14086,32159,41.6,30820,76293.0,192,4506,703.0
14091,1078,44.4,706,58295.0,8,42,536.0
14092,11595,50.0,10657,63886.0,202,1773,847.0
14094,50605,41.5,44917,50214.0,615,5030,629.0
14098,3079,42.7,2921,57226.0,35,187,728.0
14101,2171,41.5,2090,54145.0,21,124,760.0
14102,1494,44.1,1381,97000.0,11,145,755.0
14103,10728,39.1,9186,45113.0,213,697,686.0
14105,4247,43.9,4230,57583.0,42,367,649.0
14108,5686,41.5,5587,55430.0,0,441,594.0
14109,813,19.3,696,,15,5,
14111,3456,40.3,3242,54792.0,60,247,722.0
14113,620,45.8,613,46875.0,9,52,663.0
14120,44800,42.6,42280,55020.0,615,5157,669.0
14125,3765,38.6,3571,51023.0,20,237,587.0
14126,685,49.5,685,48125.0,0,137,778.0
14127,30329,45.4,29086,80220.0,206,5331,894.0
14129,1436,43.4,1059,49792.0,56,62,608.0
14130,234,32.6,229,41667.0,0,5,690.0
14131,4828,49.0,4574,59280.0,101,387,998.0
14132,6933,38.1,5856,62690.0,157,682,652.0
14134,111,50.0,111,75833.0,0,8,
14135,143,43.5,127,43516.0,0,16,
14136,5109,40.9,4864,45125.0,35,318,664.0
14138,2250,33.8,2172,47122.0,0,111,641.0
14139,2028,43.6,1880,67250.0,49,265,728.0
14141,7684,45.2,7353,49583.0,90,573,618.0
14143,1076,48.4,1001,52540.0,0,75,630.0
14145,1522,42.0,1509,59821.0,0,71,565.0
14150,41908,44.0,38267,51658.0,823,4994,754.0
14167,1765,39.7,1655,57361.0,36,135,698.0
14168,111,16.7,21,47917.0,0,15,
14169,320,31.3,320,22107.0,0,0,
14170,2370,44.5,2136,73950.0,42,236,854.0
14171,2005,45.6,1875,44323.0,31,159,628.0
14172,3104,46.4,3066,65511.0,9,381,677.0
14173,263,59.3,263,38306.0,0,0,
14174,5683,47.7,5369,66675.0,126,735,699.0
14201,12872,30.9,4943,22572.0,1029,1116,622.0
14202,3570,33.5,1931,43178.0,211,363,538.0
14203,1751,32.8,598,26630.0,56,290,668.0
14204,8905,39.1,1414,25199.0,71,506,484.0
14206,21670,39.4,16670,33971.0,273,1194,599.0
14207,23285,31.2,12000,24949.0,2501,1515,626.0
14208,10918,31.6,1632,23687.0,261,427,721.0
14209,8597,34.1,4194,32682.0,429,1160,739.0
14210,13787,35.0,11520,34839.0,142,835,683.0
14211,20885,32.6,3810,23382.0,444,1032,692.0
14212,10974,35.0,4938,26031.0,801,362,604.0
14213,23468,30.1,8031,28282.0,4604,2028,717.0
14214,19743,32.5,8904,38969.0,1471,2265,753.0
14215,39786,31.3,5733,31874.0,987,2164,729.0
