NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price
06390,339,52.5,331,151083.0,8,44,1381.0
10001,23537,35.6,12120,86801.0,3729,5932,1989.0
10002,80736,40.8,16105,33726.0,12986,14072,882.0
10003,57112,32.1,41311,98151.0,7184,17386,2030.0
10004,3221,33.1,2091,119691.0,477,1118,2851.0
10005,8131,29.4,5820,124194.0,1571,3016,2918.0
10006,3110,31.4,2137,123691.0,515,1136,2824.0
10007,6876,35.4,4561,,1193,2029,3423.0
10009,60865,37.0,29762,59090.0,6835,17256,1485.0
10010,31447,34.6,20536,101718.0,3712,9702,2295.0
10011,52349,39.5,37860,109818.0,4982,17616,2000.0
10012,24163,34.2,17198,100859.0,3421,8401,2027.0
10013,27415,36.9,13840,96667.0,4443,6909,1512.0
10014,30727,37.0,25623,113973.0,3354,12945,2281.0
10016,50641,33.4,33824,104826.0,6950,17587,2327.0
10017,16472,37.4,11015,106421.0,2851,6450,2218.0
10018,9168,30.7,4264,105500.0,2490,3104,2784.0
10019,38830,39.2,23844,94022.0,6072,12665,2169.0
10021,43573,39.5,34577,115076.0,4763,13842,1913.0
10022,30607,45.5,24719,126378.0,2487,11314,2259.0
10023,60586,42.1,45889,111478.0,7113,16210,2173.0
10024,58391,42.5,42649,113839.0,5900,15920,1849.0
10025,96068,40.3,53576,74065.0,12038,20864,1428.0
10026,38310,34.2,7457,47264.0,4719,5927,992.0
10027,64413,30.2,15173,40782.0,10851,8015,1026.0
10028,46883,39.6,39637,114939.0,3597,15912,2081.0
10029,79251,33.3,12047,31350.0,11753,10304,886.0
10030,29209,34.1,2628,33196.0,3761,3588,905.0
10031,59244,33.8,8940,39774.0,13052,7452,1150.0
10032,62685,34.2,7065,37280.0,14896,8048,1109.0
10033,59844,35.8,13372,44933.0,14948,8422,1240.0
10034,43405,35.5,7092,42581.0,11142,5533,1159.0
10035,33920,35.2,3539,27424.0,5613,3195,770.0
10036,25799,37.0,14028,75966.0,5051,9119,1965.0
10037,18777,36.1,1135,35491.0,1555,2868,1047.0
10038,21464,33.6,9348,76379.0,3200,6063,2051.0
10039,26697,32.4,1531,33558.0,3617,2991,859.0
10040,44378,37.8,8745,46200.0,11533,6526,1228.0
10044,11783,40.9,5079,91383.0,4445,1927,2145.0
10065,30237,38.7,24701,112869.0,3849,10205,2143.0
10069,5526,34.6,4245,163750.0,786,1914,3075.0
10075,25756,44.1,21576,111691.0,2180,8736,1999.0
10128,61927,39.1,44946,100200.0,7246,19390,1962.0
10162,1289,44.4,1243,193510.0,198,406,3009.0
10280,9552,37.2,6147,145432.0,1527,3225,2890.0
10282,5730,33.0,3851,,1155,1660,3084.0
10301,39209,35.8,16040,54605.0,3928,4616,1168.0
10302,18286,32.9,5592,54170.0,3078,1606,1168.0
10303,23933,32.9,4292,52553.0,2903,2334,958.0
10304,42244,35.6,14883,54106.0,5477,4417,1074.0
10305,41795,39.5,27704,72782.0,4411,5841,1195.0
10306,54939,41.9,42467,79686.0,3031,7167,1195.0
10307,15098,38.6,13271,76857.0,201,1820,1203.0
10308,29766,43.3,25720,87174.0,1547,3869,1245.0
10309,33185,39.1,27147,87509.0,1230,4285,1235.0
10310,24394,34.7,9958,68080.0,2160,2806,1061.0
10312,62032,41.5,51502,84584.0,1941,9051,1215.0
10314,87600,41.6,58224,77331.0,5562,11377,1199.0
10451,48188,32.0,1010,26048.0,8479,3329,931.0
10452,75559,30.5,1095,24790.0,18559,4265,1044.0
10453,80081,30.9,940,23095.0,19575,4451,1028.0
10454,39012,28.1,604,20210.0,6826,1402,673.0
10455,41609,30.6,553,23253.0,8749,1984,796.0
10456,91868,29.8,1337,23956.0,18908,4976,927.0
10457,73763,29.6,1420,24750.0,17077,3427,1060.0
10458,79974,29.1,9673,27912.0,19115,4381,1121.0
10459,47778,29.1,644,23761.0,9243,2149,920.0
10460,59512,30.7,1492,23209.0,12270,3163,951.0
10461,51820,37.2,18517,51568.0,6693,5728,1244.0
10462,78504,35.3,9758,45760.0,12880,8129,1210.0
10463,71981,37.9,23728,56482.0,9370,9982,1191.0
10464,4723,47.4,3207,75208.0,121,624,1365.0
10465,45839,40.0,22766,73776.0,2664,4737,1259.0
10466,71138,35.8,2276,42478.0,11613,7284,1138.0
10467,101134,33.4,9005,35117.0,20982,8470,1140.0
10468,73637,32.2,2638,34784.0,18990,5776,1148.0
10469,72732,38.1,9735,57207.0,10195,7510,1261.0
10470,14868,38.1,6459,57706.0,2137,1986,1258.0
10471,21727,43.0,13425,80222.0,1492,3923,1488.0
