NAME,median_age,white_non-hispanic,household_income,family_income,nonfamily_households_income,married-couple_families_income,foreign_born_not_a_us_citizen,bachelors,graduate,gross_rent_media_price
ZCTA5 06390,,,,,,,0.0,33.0,74.0,
ZCTA5 10001,,,,,,,3284.0,5960.0,5043.0,
ZCTA5 10002,,,,,,,15143.0,12969.0,5309.0,
ZCTA5 10003,,,,,,,6000.0,17797.0,14444.0,
ZCTA5 10004,,,,,,,348.0,869.0,768.0,
ZCTA5 10005,,,,,,,1473.0,2585.0,2209.0,
ZCTA5 10006,,,,,,,357.0,814.0,817.0,
ZCTA5 10007,,,,,,,1314.0,1767.0,2075.0,
ZCTA5 10009,,,,,,,7245.0,17247.0,10246.0,
ZCTA5 10010,,,,,,,3475.0,9334.0,7929.0,
ZCTA5 10011,,,,,,,5099.0,17389.0,15895.0,
ZCTA5 10012,,,,,,,3667.0,8643.0,6904.0,
ZCTA5 10013,,,,,,,3582.0,6284.0,5279.0,
ZCTA5 10014,,,,,,,3035.0,12361.0,9046.0,
ZCTA5 10016,,,,,,,6464.0,17495.0,14180.0,
ZCTA5 10017,,,,,,,2711.0,5801.0,4990.0,
ZCTA5 10018,,,,,,,1922.0,2127.0,1649.0,
ZCTA5 10019,,,,,,,5924.0,12128.0,10976.0,
ZCTA5 10020,,,,,,,0.0,0.0,0.0,
ZCTA5 10021,,,,,,,3691.0,12921.0,14235.0,
ZCTA5 10022,,,,,,,3148.0,10835.0,9356.0,
ZCTA5 10023,,,,,,,6593.0,16474.0,22570.0,
ZCTA5 10024,,,,,,,5430.0,15984.0,20398.0,
ZCTA5 10025,,,,,,,12409.0,21443.0,28318.0,
ZCTA5 10026,,,,,,,4700.0,5404.0,4529.0,
ZCTA5 10027,,,,,,,9490.0,7917.0,9679.0,
ZCTA5 10028,,,,,,,3454.0,14022.0,14755.0,
ZCTA5 10029,,,,,,,12566.0,9045.0,6324.0,
ZCTA5 10030,,,,,,,3373.0,3537.0,2058.0,
ZCTA5 10031,,,,,,,12996.0,7171.0,5115.0,
ZCTA5 10032,,,,,,,15394.0,7222.0,3702.0,
ZCTA5 10033,,,,,,,14694.0,7413.0,5539.0,
ZCTA5 10034,,,,,,,12077.0,5582.0,3758.0,
ZCTA5 10035,,,,,,,5573.0,3050.0,2005.0,
ZCTA5 10036,,,,,,,4229.0,7188.0,5548.0,
ZCTA5 10037,,,,,,,1404.0,2434.0,1819.0,
ZCTA5 10038,,,,,,,3040.0,4873.0,3617.0,
ZCTA5 10039,,,,,,,3761.0,2803.0,1625.0,
ZCTA5 10040,,,,,,,11369.0,6509.0,4344.0,
ZCTA5 10044,,,,,,,3787.0,1951.0,3316.0,
ZCTA5 10065,,,,,,,3844.0,10477.0,11104.0,
ZCTA5 10069,,,,,,,726.0,1896.0,1860.0,
ZCTA5 10075,,,,,,,2205.0,8893.0,7825.0,
ZCTA5 10103,,,,,,,0.0,0.0,0.0,
ZCTA5 10110,,,,,,,0.0,0.0,1.0,
ZCTA5 10111,,,,,,,0.0,0.0,0.0,
ZCTA5 10112,,,,,,,0.0,0.0,0.0,
ZCTA5 10115,,,,,,,0.0,0.0,0.0,
ZCTA5 10119,,,,,,,0.0,0.0,0.0,
ZCTA5 10128,,,,,,,6589.0,18741.0,18110.0,
ZCTA5 10152,,,,,,,0.0,0.0,0.0,
ZCTA5 10153,,,,,,,0.0,0.0,0.0,
ZCTA5 10154,,,,,,,0.0,0.0,0.0,
ZCTA5 10162,,,,,,,258.0,564.0,303.0,
ZCTA5 10165,,,,,,,0.0,0.0,0.0,
ZCTA5 10167,,,,,,,0.0,0.0,0.0,
ZCTA5 10168,,,,,,,0.0,0.0,0.0,
ZCTA5 10169,,,,,,,0.0,0.0,0.0,
ZCTA5 10170,,,,,,,0.0,0.0,0.0,
ZCTA5 10171,,,,,,,0.0,0.0,0.0,
ZCTA5 10172,,,,,,,0.0,0.0,0.0,
ZCTA5 10173,,,,,,,0.0,0.0,0.0,
ZCTA5 10174,,,,,,,0.0,0.0,0.0,
ZCTA5 10177,,,,,,,0.0,0.0,0.0,
ZCTA5 10199,,,,,,,0.0,0.0,0.0,
ZCTA5 10271,,,,,,,0.0,0.0,0.0,
ZCTA5 10278,,,,,,,0.0,0.0,0.0,
ZCTA5 10279,,,,,,,0.0,0.0,0.0,
ZCTA5 10280,,,,,,,1450.0,2818.0,2495.0,
ZCTA5 10282,,,,,,,1475.0,1538.0,1993.0,
ZCTA5 10301,,,,,,,4391.0,4610.0,3569.0,
