NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
ZCTA5 06390,,,,4.0,34.0,
ZCTA5 10001,,,,3814.0,6963.0,
ZCTA5 10002,,,,13365.0,13236.0,
ZCTA5 10003,,,,6973.0,17264.0,
ZCTA5 10004,,,,567.0,1227.0,
ZCTA5 10005,,,,1321.0,2869.0,
ZCTA5 10006,,,,510.0,1363.0,
ZCTA5 10007,,,,1159.0,1980.0,
ZCTA5 10009,,,,6256.0,17355.0,
ZCTA5 10010,,,,3629.0,9830.0,
ZCTA5 10011,,,,5589.0,16953.0,
ZCTA5 10012,,,,3810.0,8278.0,
ZCTA5 10013,,,,4326.0,8136.0,
ZCTA5 10014,,,,3611.0,13259.0,
ZCTA5 10016,,,,6265.0,18266.0,
ZCTA5 10017,,,,2254.0,6356.0,
ZCTA5 10018,,,,2685.0,3071.0,
ZCTA5 10019,,,,6656.0,13322.0,
ZCTA5 10020,,,,0.0,0.0,
ZCTA5 10021,,,,4372.0,14868.0,
ZCTA5 10022,,,,2189.0,11168.0,
ZCTA5 10023,,,,7483.0,15870.0,
ZCTA5 10024,,,,5097.0,16081.0,
ZCTA5 10025,,,,12258.0,21437.0,
ZCTA5 10026,,,,4833.0,6487.0,
ZCTA5 10027,,,,10282.0,9297.0,
ZCTA5 10028,,,,4797.0,17011.0,
ZCTA5 10029,,,,10527.0,10986.0,
ZCTA5 10030,,,,3424.0,3993.0,
ZCTA5 10031,,,,12686.0,8535.0,
ZCTA5 10032,,,,14590.0,9241.0,
ZCTA5 10033,,,,14568.0,9206.0,
ZCTA5 10034,,,,10134.0,5688.0,
ZCTA5 10035,,,,5877.0,3633.0,
ZCTA5 10036,,,,5900.0,9440.0,
ZCTA5 10037,,,,1899.0,3184.0,
ZCTA5 10038,,,,3144.0,5797.0,
ZCTA5 10039,,,,3234.0,3184.0,
ZCTA5 10040,,,,10475.0,6892.0,
ZCTA5 10044,,,,4745.0,2302.0,
ZCTA5 10065,,,,3527.0,9630.0,
ZCTA5 10069,,,,1026.0,1381.0,
ZCTA5 10075,,,,2725.0,6906.0,
ZCTA5 10103,,,,0.0,0.0,
ZCTA5 10110,,,,0.0,0.0,
ZCTA5 10111,,,,0.0,0.0,
ZCTA5 10112,,,,0.0,0.0,
ZCTA5 10115,,,,0.0,0.0,
ZCTA5 10119,,,,0.0,0.0,
ZCTA5 10128,,,,7273.0,19402.0,
ZCTA5 10152,,,,0.0,0.0,
ZCTA5 10153,,,,0.0,0.0,
ZCTA5 10154,,,,0.0,0.0,
ZCTA5 10162,,,,39.0,383.0,
ZCTA5 10165,,,,0.0,0.0,
ZCTA5 10167,,,,0.0,0.0,
ZCTA5 10168,,,,0.0,0.0,
ZCTA5 10169,,,,0.0,0.0,
ZCTA5 10170,,,,0.0,0.0,
ZCTA5 10171,,,,0.0,0.0,
ZCTA5 10172,,,,0.0,0.0,
ZCTA5 10173,,,,0.0,0.0,
ZCTA5 10174,,,,0.0,0.0,
ZCTA5 10177,,,,0.0,0.0,
ZCTA5 10199,,,,0.0,0.0,
ZCTA5 10271,,,,0.0,0.0,
ZCTA5 10278,,,,0.0,0.0,
ZCTA5 10279,,,,0.0,0.0,
ZCTA5 10280,,,,1648.0,3300.0,
ZCTA5 10282,,,,1077.0,1778.0,
ZCTA5 10301,,,,3998.0,4942.0,
