,NAME,median_age_delta,white_non-hispanic_percent_delta,household_income_delta,foreign_born_not_a_us_citizen_percent_delta,bachelors_percent_delta,gross_rent_media_price_delta
0,6390,0.47408666100254887,0.3438666666666667,0.21829365655392655,0.582465999103273,0.3592760617760618,0.5008537279453614
1,10001,0.4239592183517418,0.3735030095181232,0.6362425606038612,0.4382344846383066,0.46980031658567944,0.4849174729652817
2,10002,0.4044180118946475,0.386133278257544,0.5619574684279286,0.36553057691424135,0.4645892554993517,0.374989836572079
3,10003,0.44350042480883606,0.3656521860057009,0.6526273769777907,0.5176956227376435,0.4489472673128848,0.49662574193023823
4,10004,0.4069668649107902,0.34275755939234687,0.7731637392945275,0.5234373173598524,0.4584669242163076,0.8472233514919912
5,10005,0.4333050127442651,0.37732420093557356,0.8059769197271012,0.6244600294094073,0.46990920231364597,0.8852752256280998
6,10006,0.4163126593033135,0.41556470618241986,0.7900457250689505,0.5195456334382593,0.42749166167021546,0.8566550126026506
7,10007,0.43670348343245535,0.3798679125018268,0.6620735955871679,0.559665164764727,0.48242024300741027,0.9529230018700707
8,10009,0.44180118946474084,0.39749259927280073,0.5758419219044855,0.46575665288389867,0.4678065205570167,0.4371087080250427
9,10010,0.44435004248088356,0.3365170812421556,0.6859631296269415,0.5050562628080186,0.43061452186839816,0.4897959183673469
10,10011,0.42820730671197965,0.3807612250839791,0.6853316881985775,0.4879948760888157,0.4569814708044602,0.46020001626148466
11,10012,0.44350042480883606,0.35679598370859894,0.6520285963129627,0.48595247443341016,0.4485048662620027,0.48784454020652085
12,10013,0.4367034834324554,0.42226235769102155,0.7209428073740746,0.46769160171003327,0.48875630800496106,0.47808764940239046
13,10014,0.43670348343245535,0.37376182157601096,0.6569603716069096,0.5450309043547514,0.456931711022917,0.645147301948668
14,10016,0.44350042480883606,0.3455032291243614,0.631840615473944,0.49539349759331536,0.4581115776017338,0.6047104100604386
15,10017,0.43075615972812237,0.3741285549566601,0.6363369139207432,0.4719105880641666,0.46744157073035003,0.46833075859826
16,10018,0.427357689039932,0.3912018342308568,0.6819277108433734,0.41061254873545455,0.4809702455162438,0.7865680136596471
17,10019,0.437553101104503,0.3370039336513671,0.6334809115982001,0.4655685614402192,0.45135782625700394,0.4019839011301732
18,10021,0.4290569243840272,0.3686408038945465,0.5919001306430541,0.5238331567274535,0.4240935563204855,0.4390600861858688
19,10022,0.44774851316907394,0.35720085776009797,0.6944803309624038,0.5300951288719004,0.43374155766894673,0.5348402309130824
20,10023,0.41631265930331357,0.3514731217651556,0.6445892001741907,0.4899588769890587,0.4478685973591815,0.4588990974876006
21,10024,0.4180118946474087,0.37597179609101467,0.6616308607925678,0.5331153025957642,0.45992401612255707,0.47060736645255713
22,10025,0.4103653355989805,0.36809956817541795,0.6434533313978806,0.471108616974552,0.4478954310803087,0.41336694040165867
23,10026,0.421410365335599,0.39452501118036687,0.6183589780809987,0.493792376101229,0.45810875713556437,0.42214814212537605
24,10027,0.44180118946474084,0.39706924053866666,0.6062527217302947,0.5132210903056899,0.4645631472237119,0.43678347833157166
25,10028,0.4418011894647409,0.3580269969614112,0.600094353316882,0.5124402455156603,0.4556799829569689,0.4579234084071876
26,10029,0.41631265930331357,0.3969243439118803,0.5521374655247496,0.49259607599638283,0.46352699260568725,0.36685909423530366
27,10030,0.4392523364485981,0.40025369738542327,0.5935658295833938,0.5407954171745947,0.4583127105169523,0.398081144808521
28,10031,0.42225998300764656,0.4219176533954165,0.6087603425751198,0.4626903389982821,0.4662566263884179,0.44556468005528904
29,10032,0.43500424808836025,0.40975876351556517,0.612294962984468,0.4554439274275328,0.48061816611614705,0.39190178063257175
30,10033,0.43755310110450296,0.40407745631514325,0.626890695311366,0.42042981915758443,0.4734429098640484,0.4351573298642166
31,10034,0.4460492778249788,0.40224842258235893,0.5870409348236318,0.46062912979265064,0.44970437026288845,0.4094641840800065
32,10035,0.4129141886151232,0.39790592455863455,0.5578168094062999,0.4992730913431119,0.4628150757858847,0.3853971867631515
33,10036,0.46219201359388273,0.35286492491096955,0.6625852808825664,0.4514298327360068,0.4705821722602488,0.537279453614115
34,10037,0.45964316057774,0.3917616725100798,0.5656118449702424,0.494297770145509,0.4527070883459866,0.42670135783397023
35,10038,0.42225998300764656,0.4177053663586673,0.6550551604006387,0.4461001531723191,0.4925541943745312,0.6735506951784698
36,10039,0.43415463041631264,0.3954740686389662,0.575047176658441,0.50286967896065,0.4569373087137048,0.37986828197414424
37,10040,0.42905692438402726,0.3932042045603268,0.5904739439686457,0.3710558065911249,0.46079632874402127,0.4182453858037239
38,10044,0.4265080713678845,0.33686047785636225,0.648991145304108,0.41292490187475206,0.45715636218960326,0.5376046833075859
39,10065,0.4511469838572642,0.3399363984545925,0.6800152416896502,0.4936038723553145,0.4482292989048201,0.4995528091714774
40,10069,0.4367034834324554,0.330653340291197,0.42589998548410507,0.43693145387821986,0.3941931347261358,0.479225953329539
41,10075,0.4010195412064571,0.31927569776765985,0.6876179416461025,0.45031971016054684,0.4198122388716558,0.4588990974876006
42,10128,0.43585386576040785,0.3537009648601572,0.6349796777471332,0.497963615859984,0.44936475891290173,0.46865598829173105
43,10162,0.4494477485131691,0.41783277421774034,0.4398207286979242,0.48144760865723946,0.40290550313073964,0.5175217497357508
44,10280,0.43160577740017,0.3765841761107399,0.7179525330236609,0.47968537574402015,0.4439658736422857,0.9296690787868932
45,10282,0.4265080713678845,0.4352291315294436,0.1475286688924372,0.638701645065486,0.4309140984013498,1.0
