,ZCTA5,bachelors,graduate,household,foreign-born-non-us,family,nonfamily-households,nonfamily-households,married-couple-families,gross_rent,median_age,white_non_hispanic
0,,0.001542719724125414,0.002186748305270063,,8.826320086497937e-05,,,,,,,
1,,0.3159399246789782,0.20296668853414973,,0.08415896202475782,,,,,,,
2,,0.6005717137801171,0.2534076827757125,,0.2949094198901123,,,,,,,
3,,0.7833386269794456,0.5231795320358626,,0.15386482490787529,,,,,,,
4,,0.05567403239711421,0.034732852248706175,,0.012511308722610826,,,,,,,
5,,0.13017832025046508,0.10190247102558496,,0.029148922085659435,,,,,,,
6,,0.06184491129361586,0.04056418106275968,,0.01125355811028487,,,,,,,
7,,0.08984073687553881,0.0771557693709454,,0.02557426245062777,,,,,,,
8,,0.7874676709469577,0.3724032363874918,,0.13804364615282774,,,,,,,
9,,0.44602749671037706,0.3630002186748305,,0.08007678898475253,,,,,,,
10,,0.7692272789146513,0.5935199358553831,,0.12332575740859242,,,,,,,
11,,0.3756068787150052,0.25847364968292147,,0.08407069882389284,,,,,,,
12,,0.36916375516130495,0.2086522341278519,,0.09545665173547518,,,,,,,
13,,0.6016153182993784,0.36671769079378963,,0.07967960458086012,,,,,,,
14,,0.8288034847316121,0.49664698593191925,,0.13824223835477395,,,,,,,
15,,0.28839784019238623,0.1905386689991982,,0.04973631368741587,,,,,,,
16,,0.13934389037615136,0.09639915445732196,,0.0592466735806174,,,,,,,
17,,0.6044738871999638,0.4614403382170712,,0.14686996623932566,,,,,,,
18,,0.0,0.0,,0.0,,,,,,,
19,,0.6746222605381369,0.5671696187768788,,0.09647167854542245,,,,,,,
20,,0.5067380552656654,0.3941978278300168,,0.04830203667335996,,,,,,,
21,,0.7200871182903036,0.894380056855456,,0.16511838301816015,,,,,,,
22,,0.7296610554017877,0.786974269261608,,0.11246938370219996,,,,,,,
23,,0.9726847860610736,1.0,,0.27048257905072925,,,,,,,
24,,0.29434184854122236,0.22086157883227642,,0.10664401244511132,,,,,,,
25,,0.42184309632923456,0.37787010715066693,,0.22688055782342947,,,,,,,
26,,0.7718589772675711,0.6406079160288651,,0.1058496436373265,,,,,,,
27,,0.49847996733064115,0.26605437714119107,,0.23228667887640944,,,,,,,
28,,0.18117881936566996,0.09319192360959254,,0.07555329994042234,,,,,,,
29,,0.38726802486501205,0.24043297616444348,,0.27992674154328206,,,,,,,
30,,0.4193021461953809,0.1850353524309352,,0.32194002515501224,,,,,,,
31,,0.4177140523617224,0.22855164370580947,,0.32145457755025486,,,,,,,
32,,0.25808793502427513,0.15394708069101246,,0.22361481939142522,,,,,,,
33,,0.1648441399337538,0.09333770682994387,,0.12968070787087094,,,,,,,
34,,0.4283315939924679,0.25748961294554995,,0.13018822127584456,,,,,,,
35,,0.14447116475339172,0.08892776441431591,,0.041902954610648954,,,,,,,
36,,0.26303371296338307,0.15012027115678986,,0.06937487587987379,,,,,,,
37,,0.14447116475339172,0.0666593775056491,,0.07136079789933582,,,,,,,
38,,0.31271836290212807,0.1745389605656389,,0.2311392572651647,,,,,,,
39,,0.10445120014519715,0.13812960128289234,,0.10470222202608177,,,,,,,
40,,0.436952674803757,0.36230774837816165,,0.07782607736269556,,,,,,,
41,,0.06266164526521167,0.06910124644653401,,0.022639511021867207,,,,,,,
42,,0.31335360043559146,0.2581820832422188,,0.06012930558926719,,,,,,,
43,,0.0,0.0,,0.0,,,,,,,
44,,0.0,0.0,,0.0,,,,,,,
45,,0.0,0.0,,0.0,,,,,,,
46,,0.0,0.0,,0.0,,,,,,,
47,,0.0,0.0,,0.0,,,,,,,
48,,0.0,0.0,,0.0,,,,,,,
49,,0.8803484731612142,0.7871200524819594,,0.16048456497274874,,,,,,,
50,,0.0,0.0,,0.0,,,,,,,
51,,0.0,0.0,,0.0,,,,,,,
52,,0.0,0.0,,0.0,,,,,,,
53,,0.017378283951177458,0.017275311611633502,,0.0008605662084335488,,,,,,,
54,,0.0,0.0,,0.0,,,,,,,
55,,0.0,0.0,,0.0,,,,,,,
56,,0.0,0.0,,0.0,,,,,,,
57,,0.0,0.0,,0.0,,,,,,,
58,,0.0,0.0,,0.0,,,,,,,
59,,0.0,0.0,,0.0,,,,,,,
60,,0.0,0.0,,0.0,,,,,,,
61,,0.0,0.0,,0.0,,,,,,,
62,,0.0,0.0,,0.0,,,,,,,
63,,0.0,0.0,,0.0,,,,,,,
64,,0.0,0.0,,0.0,,,,,,,
65,,0.0,0.0,,0.0,,,,,,,
66,,0.0,0.0,,0.0,,,,,,,
67,,0.0,0.0,,0.0,,,,,,,
68,,0.14973456145923136,0.12362417085793426,,0.0363644387563715,,,,,,,
69,,0.08067516674985253,0.056090094030177125,,0.023764866832895696,,,,,,,
70,,0.22423884931258223,0.16349588162402506,,0.08821906926454688,,,,,,,
71,,0.08920549934207542,0.032181645892557766,,0.05591473774796443,,,,,,,
72,,0.11720132492399837,0.04807201691085356,,0.06617533484851829,,,,,,,
73,,0.2315894550569445,0.1374735767913113,,0.10728392065138243,,,,,,,
74,,0.26993057761241435,0.13361032145200089,,0.10682053884684128,,,,,,,
75,,0.32270066699941014,0.17446606895546324,,0.0703678368896048,,,,,,,
76,,0.10168337946367803,0.05091478970770464,,0.010503320902932545,,,,,,,
77,,0.19501792277326557,0.10514614767840222,,0.04135130960524283,,,,,,,
78,,0.21629838014428968,0.10999343975508419,,0.025816986253006467,,,,,,,
79,,0.12704750669268117,0.08229462788833006,,0.055054171539530884,,,,,,,
80,,0.0,0.0,,0.0,,,,,,,
